gen,nevals,avg,stddev,min,max,method,time
0,50,0.0,0.0,0.0,0.0,3,280.2420697212219
1,46,1.9479200813300125e-13,4.4632456102096584e-13,0.0,1.2174500508312578e-12,3,280.2420697212219
2,45,1.6405000959001476e-10,3.07857588502826e-10,0.0,7.437258263850433e-10,3,280.2420697212219
3,44,5.811161695841269e-10,7.01286192703993e-10,0.0,4.4593252930586575e-09,3,280.2420697212219
4,44,1.3827765453075324e-09,2.614143215423913e-09,0.0,1.3748352374274058e-08,3,280.2420697212219
5,47,5.972056993199799e-09,2.7473297575327276e-08,0.0,1.9628839642969092e-07,3,280.2420697212219
6,39,1.046272829751703e-06,6.971675739323053e-06,0.0,4.984146746438939e-05,3,280.2420697212219
7,43,1.5676284895323396e-06,6.8101849754691765e-06,1.2174500508312578e-12,4.2035534060191e-05,3,280.2420697212219
8,48,4.288732062352405e-06,1.1024730427611465e-05,0.0,4.984146746438939e-05,3,280.2420697212219
9,50,1.1481885144022865e-05,1.600566965264808e-05,7.437258263850433e-10,4.984146746438939e-05,3,280.2420697212219
10,47,2.7033743814581763e-05,2.1526461345890886e-05,0.0,7.874340463095145e-05,3,280.2420697212219
11,46,3.6914824017242237e-05,2.2887792614047976e-05,1.2174500508312578e-12,9.439287239604276e-05,3,280.2420697212219
12,45,4.6039409199636385e-05,2.8067873833802478e-05,1.2174560206906613e-12,9.470869367383073e-05,3,280.2420697212219
13,45,5.091972632606492e-05,3.510535686749456e-05,1.2174560206906613e-12,9.470869367383073e-05,3,280.2420697212219
14,43,5.8051452495080756e-05,3.4463957158106834e-05,4.201420352299324e-13,0.00010226869664640069,3,280.2420697212219
15,43,6.781176242931202e-05,3.650749287126323e-05,1.22047780752525e-07,0.00015617643916036845,3,280.2420697212219
16,40,6.707152640142636e-05,4.3839901668431195e-05,5.31417253548963e-07,0.00015617643916036845,3,280.2420697212219
17,44,7.494146949561362e-05,6.302449755648859e-05,4.201420350564612e-13,0.00024340432210863812,3,280.2420697212219
18,45,0.00011794711670232557,6.790539045057432e-05,1.22047780752525e-07,0.00025071563248096933,3,280.2420697212219
19,47,0.00017624491774312495,0.0002639921681974334,7.76699690118266e-08,0.0019241615302127847,3,280.2420697212219
20,47,0.0002118731233253867,0.000313269341207815,2.289131915386121e-07,0.0019241615302127847,3,280.2420697212219
21,46,0.00033790460486369107,0.0004218964206598081,3.875775726505337e-08,0.0019241615302127847,3,280.2420697212219
22,46,0.00035750107701405646,0.0005429219199437584,1.3748352374274058e-08,0.0026980528577148577,3,280.2420697212219
23,45,-0.01960308353702977,0.1400578010821014,-1.0,0.0026980528577148577,3,280.2420697212219
24,48,0.00041194469814883976,0.0005028740480689917,2.6246240154574096e-07,0.0019241615302127847,3,280.2420697212219
25,48,0.0005405694665943753,0.0006356842590432447,2.6098179054355124e-07,0.002117245627968828,3,280.2420697212219
26,44,-0.019414865822712835,0.1400849977180247,-1.0,0.0019241615302127847,3,280.2420697212219
27,42,0.0007343265555211837,0.0007064364692102325,7.738400300329643e-06,0.0019241615302127847,3,280.2420697212219
28,44,0.0005886180537921746,0.0007413543817196543,2.438986289474887e-07,0.0019241615302127847,3,280.2420697212219
29,47,0.0007305772745154766,0.0008141853327364177,6.468581230388073e-06,0.0019241615302127847,3,280.2420697212219
30,48,-0.01922442568531024,0.14011327727071549,-1.0,0.0019241615302127847,3,280.2420697212219
31,45,-0.01934978372300738,0.14009524513983523,-1.0,0.0023792442724639784,3,280.2420697212219
32,44,0.0009052784357886842,0.0009882611519702405,8.641957870267239e-08,0.0026980528577148577,3,280.2420697212219
33,48,-0.039052170485789434,0.19615518731209486,-1.0,0.0031657378410422854,3,280.2420697212219
34,45,-0.01893415841185717,0.14015622871514213,-1.0,0.0031657378410422854,3,280.2420697212219
35,44,0.0012247114884807505,0.0011475970142326535,2.0346216952324756e-05,0.0031657378410422854,3,280.2420697212219
36,46,0.001097549694443715,0.0012393681149614247,8.451116545282715e-08,0.0031657378410422854,3,280.2420697212219
37,44,0.001342681217870561,0.0013602459835919513,1.0989030030357341e-07,0.003433291335364862,3,280.2420697212219
38,45,0.0015128175210345652,0.0015175365237731257,1.1520742159568301e-05,0.003720733689909977,3,280.2420697212219
39,46,-0.018687856773825905,0.14019553877290322,-1.0,0.003623430051263705,3,280.2420697212219
40,43,0.0016222634578770627,0.0016205449807604163,1.096321466671387e-05,0.003623430051263705,3,280.2420697212219
41,44,0.0015218536707624825,0.0015774587588196578,7.208675563538698e-06,0.003623430051263705,3,280.2420697212219
42,47,-0.018560822403458573,0.14021378427503559,-1.0,0.003623430051263705,3,280.2420697212219
43,47,0.0019238098541904957,0.0016538150065494236,1.931003522208208e-05,0.003623430051263705,3,280.2420697212219
44,41,-0.01780684332061458,0.14032307209057657,-1.0,0.003623430051263705,3,280.2420697212219
45,46,0.00144687134711342,0.001680239420113708,1.735757391122467e-07,0.0037001261094140566,3,280.2420697212219
46,44,0.0018248433855418925,0.0016803704841782427,1.931003522208208e-05,0.0037001261094140566,3,280.2420697212219
47,43,-0.03855990285743643,0.19625977571056785,-1.0,0.0037001261094140566,3,280.2420697212219
48,48,0.0013716672569788915,0.0015724788670209411,1.735757391122467e-07,0.003623430051263705,3,280.2420697212219
49,48,0.001819389760744097,0.001551761603824599,1.735757391122467e-07,0.003623430051263705,3,280.2420697212219
50,47,0.0014089607620331554,0.0016111454571236818,1.270020965240051e-08,0.003623430051263705,3,280.2420697212219
51,45,0.0017510388047056293,0.0016181775419685147,1.735757391122467e-07,0.003623430051263705,3,280.2420697212219
52,46,-0.018382565693885834,0.14024094626884367,-1.0,0.003623430051263705,3,280.2420697212219
53,45,0.0018390257331330673,0.001670184135382667,1.735757391122467e-07,0.003623430051263705,3,280.2420697212219
54,46,0.001699572167863171,0.001705074197475836,1.735757391122467e-07,0.003623430051263705,3,280.2420697212219
