gen,nevals,avg,stddev,min,max,method,time
0,50,0.0,0.0,0.0,0.0,2,121.68094658851624
1,47,2.9218801219950186e-13,5.199523784265936e-13,0.0,1.2174500508312578e-12,2,121.68094658851624
2,45,6.662295245140601e-11,2.0204363885585796e-10,0.0,7.437258263850433e-10,2,121.68094658851624
3,43,2.8677931557566385e-10,4.003885354501498e-10,0.0,1.7157278746143797e-09,2,121.68094658851624
4,45,7.16271061191807e-09,3.837917648011688e-08,0.0,2.6999651242604805e-07,2,121.68094658851624
5,45,6.767257379105459e-09,2.0313450292295694e-08,0.0,1.0012568557704793e-07,2,121.68094658851624
6,45,2.746640744742682e-08,1.2117432286661206e-07,0.0,8.240146362575537e-07,2,121.68094658851624
7,45,1.0399431021780362e-06,6.6150713289592705e-06,0.0,4.732716296183121e-05,2,121.68094658851624
8,44,2.8806380603941363e-06,1.0127193442412065e-05,0.0,4.732716296183121e-05,2,121.68094658851624
9,41,1.2099023250617935e-05,4.463929910911633e-05,0.0,0.0003087373667480737,2,121.68094658851624
10,44,1.0030571034928028e-05,2.1303972764655254e-05,0.0,0.0001197662067093237,2,121.68094658851624
11,46,-0.019979691255338047,0.14000290550552377,-1.0,0.0001413238737805851,2,121.68094658851624
12,48,-0.01994615216780502,0.14000771585851626,-1.0,0.0003087373667480737,2,121.68094658851624
13,46,0.0001032240879899006,0.00011206180551827256,0.0,0.0003330212998193553,2,121.68094658851624
14,48,0.00012043094711613821,0.00015884508291659675,0.0,0.0006868895748855757,2,121.68094658851624
15,44,0.00015303047743499526,0.00017404021986104553,0.0,0.0005009921150148698,2,121.68094658851624
16,46,-0.01984858296489741,0.14002179212600618,-1.0,0.0010487204425754747,2,121.68094658851624
17,47,0.00015387027338891284,0.000209321929064293,4.4938668397781774e-18,0.0010487204425754747,2,121.68094658851624
18,45,0.00022139693053819075,0.0002411901031545267,0.0,0.0011097729941449812,2,121.68094658851624
19,44,0.00037361984968924366,0.0003127001781481959,0.0,0.0011244491838475455,2,121.68094658851624
20,43,0.0004139039627189451,0.00040094207178284117,0.0,0.0011244491838475455,2,121.68094658851624
21,41,-0.01955697648065485,0.1400640141811347,-1.0,0.0014622498418894506,2,121.68094658851624
22,46,-0.019551764848497508,0.140064951946172,-1.0,0.0017593256821845792,2,121.68094658851624
23,47,0.0006157972912726609,0.0005960903053427092,0.0,0.0017593256821845792,2,121.68094658851624
