gen,nevals,avg,stddev,min,max,method,time
0,50,0.0,0.0,0.0,0.0,2,316.1894750595093
1,44,2.9218801219950186e-13,5.199523784265936e-13,0.0,1.2174500508312578e-12,2,316.1894750595093
2,48,8.28460778509046e-11,2.9275311246587803e-10,0.0,1.7157278746143797e-09,2,316.1894750595093
3,44,5.047743205201075e-10,1.916704634626269e-09,0.0,1.3724172456133586e-08,2,316.1894750595093
4,45,7.557984954904534e-09,4.105314691910688e-08,0.0,2.935371872302275e-07,2,316.1894750595093
5,46,2.440224776378368e-07,1.5605707318408824e-06,0.0,1.1158757888204937e-05,2,316.1894750595093
6,42,8.20570732490005e-07,3.8728218402705525e-06,0.0,2.5652438239257e-05,2,316.1894750595093
7,46,2.8971796028943278e-06,7.473876079481815e-06,0.0,2.6979232513588258e-05,2,316.1894750595093
8,44,1.0788585450629105e-05,1.525905309174961e-05,8.197384013035546e-13,5.66776976183013e-05,2,316.1894750595093
9,40,2.6605958857870857e-05,2.138696061202414e-05,2.1633405693427737e-08,8.238754938349296e-05,2,316.1894750595093
10,48,3.350483731953038e-05,2.2310550985690326e-05,8.197384016504983e-13,8.238754938349296e-05,2,316.1894750595093
11,47,3.238843984465734e-05,2.6748626682036517e-05,2.5908210467537577e-11,8.297163751293405e-05,2,316.1894750595093
12,44,3.6985792130917554e-05,2.5904452170799174e-05,1.2909454943690725e-12,8.297163751293405e-05,2,316.1894750595093
13,39,-0.019957503786071994,0.14000607420407443,-1.0,9.305455333645064e-05,2,316.1894750595093
14,45,3.963673605063975e-05,3.359740470346793e-05,6.597072400664157e-12,9.305455333645064e-05,2,316.1894750595093
15,46,3.988957031594033e-05,3.472731873920506e-05,3.7667017782276574e-12,0.00010676852438541864,2,316.1894750595093
16,45,4.519929953516943e-05,3.75710288251007e-05,3.4046652543193945e-12,0.00010803997047265825,2,316.1894750595093
17,47,5.171900894637423e-05,4.068242322694692e-05,6.597072400664157e-12,0.00011245661461351031,2,316.1894750595093
18,43,5.950065254539182e-05,4.420534039985994e-05,3.4046652543193945e-12,0.00012604180328275295,2,316.1894750595093
19,43,6.518490750537954e-05,4.468724183362243e-05,4.409743025912662e-10,0.000172901553796145,2,316.1894750595093
20,41,7.391043553649061e-05,4.749085802408161e-05,4.4097430258923766e-10,0.00017208920164356122,2,316.1894750595093
21,43,6.713242370991898e-05,5.777431975611002e-05,4.4097430258923766e-10,0.00017208920164356122,2,316.1894750595093
22,45,7.527004998515262e-05,6.0005886245807446e-05,4.409743025912662e-10,0.000172901553796145,2,316.1894750595093
23,48,8.942347127384226e-05,5.79994696743576e-05,7.981357052935913e-09,0.000172901553796145,2,316.1894750595093
24,43,0.00011295028623500366,5.4432791606018627e-05,7.981357052935913e-09,0.000186787400119131,2,316.1894750595093
