gen,nevals,avg,stddev,min,max,method,time
0,50,0.0,0.0,0.0,0.0,0,268.1476573944092
1,46,1.4609400609975093e-13,3.956244387471656e-13,0.0,1.2174500508312578e-12,0,268.1476573944092
2,43,1.1383316250761077e-10,3.714555873782337e-10,0.0,1.715727874615181e-09,0,268.1476573944092
3,47,3.933348480644251e-09,2.009367376535768e-08,0.0,1.4336062968782012e-07,0,268.1476573944092
4,47,5.695483339482739e-08,3.4196313434203546e-07,0.0,2.4450966578938283e-06,0,268.1476573944092
5,45,4.407149181418017e-06,2.007075921277442e-05,0.0,0.00010267846748844105,0,268.1476573944092
6,50,1.161316425226011e-05,2.9894651619412544e-05,0.0,0.00010267846748844105,0,268.1476573944092
7,42,-0.019966839688968566,0.14000474707942176,-1.0,0.00027777808715682414,0,268.1476573944092
8,48,4.125393857638327e-05,4.248673498180067e-05,0.0,0.00010956589423268632,0,268.1476573944092
9,44,6.301399662653602e-05,5.8239432130677706e-05,0.0,0.00027777808715682414,0,268.1476573944092
10,43,6.115229828212383e-05,5.6473749310977855e-05,0.0,0.00016887874922272912,0,268.1476573944092
11,44,-0.01992616993631125,0.14001056382916202,-1.0,0.0003524080301125524,0,268.1476573944092
12,48,7.607126857785182e-05,7.781686688353318e-05,0.0,0.0003524080301125524,0,268.1476573944092
13,48,0.00014352819212481432,0.00011354969282466588,0.0,0.00035460782942476005,0,268.1476573944092
14,48,0.00017824323938543988,0.0001395368034529771,0.0,0.0004193205650317471,0,268.1476573944092
15,43,-0.01983318813358575,0.14002391410732795,-1.0,0.00037494304715754694,0,268.1476573944092
16,44,0.0002065455066867452,0.00018562622116443942,0.0,0.0008493180274498333,0,268.1476573944092
17,45,-0.01971003383564939,0.1400415473863787,-1.0,0.0008493180274498333,0,268.1476573944092
18,44,0.000285196027598963,0.0001828322197890445,0.0,0.0008214873446293596,0,268.1476573944092
19,46,0.00031738823709341504,0.0002232651100532226,0.0,0.0008214873446293596,0,268.1476573944092
20,44,-0.01957956258335085,0.14006029045260926,-1.0,0.0008493180274498333,0,268.1476573944092
21,41,-0.01949797578488034,0.14007210327138983,-1.0,0.0009735880460212833,0,268.1476573944092
22,45,0.0005312309259528095,0.0003630269020529952,0.0,0.0009735880460212833,0,268.1476573944092
23,48,0.0006093235204801599,0.00033298833929706277,1.4271649764098283e-07,0.0009735880460212833,0,268.1476573944092
