gen,nevals,avg,stddev,min,max,method,time
0,50,0.0,0.0,0.0,0.0,2,307.1668875217438
1,42,1.9479200813300125e-13,4.4632456102096584e-13,0.0,1.2174500508312578e-12,2,307.1668875217438
2,45,1.1998137626441986e-10,3.7087728761263665e-10,0.0,1.715727874615181e-09,2,307.1668875217438
3,46,1.1231379537002439e-09,3.107539998260514e-09,0.0,1.7699490000611355e-08,2,307.1668875217438
4,39,4.23537436025477e-09,1.230638647575968e-08,0.0,6.566937221968152e-08,2,307.1668875217438
5,43,3.506690012546167e-08,1.1902520307491064e-07,0.0,6.121801362404854e-07,2,307.1668875217438
6,43,1.1036945188753501e-07,2.1693226923627648e-07,0.0,9.820865279625774e-07,2,307.1668875217438
7,43,2.5657131249420256e-07,3.499830656093045e-07,0.0,1.4812560590978849e-06,2,307.1668875217438
8,43,6.026437158270131e-07,8.939575097559903e-07,0.0,5.875440156389178e-06,2,307.1668875217438
9,46,7.79771301545418e-07,8.484301126161584e-07,0.0,3.5045185145846023e-06,2,307.1668875217438
10,46,1.5818471804559397e-06,2.195759435392165e-06,0.0,1.4207116138110029e-05,2,307.1668875217438
11,44,2.9903601762093816e-06,3.9917946812484976e-06,0.0,2.057381628979386e-05,2,307.1668875217438
12,46,4.1390147036991835e-06,5.27685064222767e-06,0.0,2.5506142386339392e-05,2,307.1668875217438
13,40,-0.019983211117343812,0.14000240767926952,-1.0,0.0003618160257623144,2,307.1668875217438
14,47,6.725061836327151e-05,0.0001686339126014214,0.0,0.0008213703103494842,2,307.1668875217438
15,45,0.00015381615690650854,0.0002493326270312318,1.5878427278266693e-10,0.0008779432535379563,2,307.1668875217438
16,43,0.0002567593437781201,0.0003269330083833067,0.0,0.0010851365687508726,2,307.1668875217438
17,46,0.00031364014619645545,0.00035368475011749774,2.5376653970168914e-10,0.0010851365687508726,2,307.1668875217438
18,48,0.00026188597110387066,0.0003013328884511649,9.346750067878737e-10,0.0008370390291054791,2,307.1668875217438
19,44,0.00037361355605380653,0.00031430968005846264,1.9148379908757675e-06,0.0008879329248996232,2,307.1668875217438
20,45,-0.019607326275175762,0.14005654088606737,-1.0,0.0008918402993687323,2,307.1668875217438
21,44,0.00041296186939960905,0.00035767270031158104,9.346750067878737e-10,0.0008918402993687323,2,307.1668875217438
22,48,0.000276336381549888,0.0003287497452686531,9.346750067878737e-10,0.000912021250416837,2,307.1668875217438
23,46,-0.019665890734247175,0.14004810323046407,-1.0,0.0010198226620418526,2,307.1668875217438
24,45,-0.019544415582275494,0.1400656098927321,-1.0,0.0010637839711868423,2,307.1668875217438
25,44,-0.019580490182232076,0.14006052606102187,-1.0,0.001063999860418886,2,307.1668875217438
26,46,0.00048699586261820424,0.00043660695311442416,9.346750067878737e-10,0.001235368874691837,2,307.1668875217438
27,41,0.0005370113122081398,0.0004827560669525611,9.346750067878737e-10,0.001235368874691837,2,307.1668875217438
28,43,0.00048528746575275797,0.0004627941018147288,6.014300221717638e-10,0.001235368874691837,2,307.1668875217438
29,44,-0.03948154770235635,0.19606550335663764,-1.0,0.001235368874691837,2,307.1668875217438
30,42,0.0006012245644558432,0.0005169532744214961,6.014300221717638e-10,0.0017690133027893644,2,307.1668875217438
31,44,0.000551924852499516,0.000524006523391495,6.014154243642009e-10,0.00171962112750533,2,307.1668875217438
32,46,0.0005266721667914606,0.0005445858742584753,6.014300221717638e-10,0.00171962112750533,2,307.1668875217438
33,47,0.0006675196718934724,0.0007638575212661082,2.341813119319441e-07,0.0037718267518368847,2,307.1668875217438
34,46,-0.018977982646269806,0.14015374467024402,-1.0,0.006212415366845709,2,307.1668875217438
35,49,-0.01871035751699606,0.14019329470974082,-1.0,0.006212415366845709,2,307.1668875217438
36,44,0.0019944914935384256,0.002094340890970594,8.295446879605555e-11,0.006212415366845709,2,307.1668875217438
37,45,0.002857846217756596,0.0023787621023334707,1.1490711084251987e-10,0.006212415366845709,2,307.1668875217438
38,45,0.0033722806229516318,0.002637561556106645,1.1490711084251987e-10,0.006387412658948695,2,307.1668875217438
39,49,0.003726756824258225,0.0027558071072044574,1.9242226654510388e-07,0.007179004368450161,2,307.1668875217438
40,46,0.00378178199264071,0.0028203920361235275,1.9242226654510388e-07,0.007179004368450161,2,307.1668875217438
41,47,0.003516642237326008,0.002925923832240831,2.2307534237929715e-07,0.007050340401591465,2,307.1668875217438
42,44,0.003666929565525667,0.0029454533942031764,2.5551555860999997e-07,0.007050340401591465,2,307.1668875217438
43,47,0.003514226652310489,0.0029159724780788918,1.1490711084251987e-10,0.006864373295294696,2,307.1668875217438
44,45,0.003756176931690403,0.002959652520979306,1.8651144608094268e-07,0.006864373295294696,2,307.1668875217438
45,42,0.004353262767627402,0.0028261954958675416,2.9593397323819926e-07,0.006864373295294696,2,307.1668875217438
46,46,0.003515395489308669,0.0029429944573701344,1.1490711084321373e-10,0.006864373295294696,2,307.1668875217438
47,46,0.004052730672153483,0.002831174352610468,1.8651144608094268e-07,0.006864373295294696,2,307.1668875217438
48,46,0.0038107565305398983,0.002935276849171938,1.1490711084321373e-10,0.006912034634528747,2,307.1668875217438
49,45,0.003873710747260998,0.0029620549362389193,1.149125112818631e-10,0.006912034634528747,2,307.1668875217438
50,44,-0.016468242937219303,0.1405377923781296,-1.0,0.006912034634528747,2,307.1668875217438
51,45,0.0034075212398407577,0.0029479104311055265,1.149125112818631e-10,0.006912034634528747,2,307.1668875217438
52,45,0.00393663066592177,0.0030864814608238204,2.2842077744550954e-07,0.006912034634528747,2,307.1668875217438
53,48,0.003100356941138824,0.003023566171264746,1.1490711084251987e-10,0.008065342041970125,2,307.1668875217438
54,47,0.003213248307426423,0.0031640638120978026,1.1490711084321373e-10,0.008065342041970125,2,307.1668875217438
55,47,0.0032823385548658144,0.003333442679170824,2.664614452767394e-07,0.008065342041970125,2,307.1668875217438
56,41,0.00336565005504669,0.0034022122129149664,1.1490711084251987e-10,0.008065342041970125,2,307.1668875217438
