gen,nevals,avg,stddev,min,max,method,time
0,50,0.0,0.0,0.0,0.0,3,279.00967168807983
1,46,2.1914100914962642e-13,4.677290357004888e-13,0.0,1.2174500508312578e-12,3,279.00967168807983
2,44,9.449064529589352e-11,3.069163776792156e-10,0.0,1.715727874615181e-09,3,279.00967168807983
3,47,1.2532910384705929e-09,3.2286110007714113e-09,0.0,1.3748352374274058e-08,3,279.00967168807983
4,44,5.984334267079373e-08,2.845353307311763e-07,0.0,2.0011314867614774e-06,3,279.00967168807983
5,42,1.8090012473295083e-07,4.762595052738776e-07,0.0,2.0011314867614774e-06,3,279.00967168807983
6,46,5.859846635311808e-07,1.0818112535353234e-06,0.0,4.386279915156304e-06,3,279.00967168807983
7,45,1.2546457272118231e-05,7.578028323930177e-05,0.0,0.0005423896715196611,3,279.00967168807983
8,46,-0.019969739879020933,0.14000436268715874,-1.0,0.0005423896715196611,3,279.00967168807983
9,42,4.939325718547409e-05,0.00012377490508025244,0.0,0.0005423896715196611,3,279.00967168807983
10,44,-0.01988841575953257,0.14001606972546965,-1.0,0.0006677892871058941,3,279.00967168807983
11,46,0.00022073994244396886,0.00023899192342310448,0.0,0.0008001529467342282,3,279.00967168807983
12,44,0.00028371196816224056,0.00026604690552789836,0.0,0.001070411222225302,3,279.00967168807983
13,44,0.0003358119788093662,0.00030291651691782183,0.0,0.0010293152489707713,3,279.00967168807983
14,43,-0.0195587762250214,0.1400633600762265,-1.0,0.0010192897106939653,3,279.00967168807983
15,46,0.000506455852894622,0.0003625775992361193,1.2174500508312578e-12,0.0010907564972895188,3,279.00967168807983
16,45,-0.0194483705139591,0.14007927262105918,-1.0,0.0010907564972895188,3,279.00967168807983
17,46,0.000576406214423185,0.00035230117170915857,0.0,0.001080921889643919,3,279.00967168807983
18,48,0.00046685648393105276,0.0003804199546779738,0.0,0.0010854755397555998,3,279.00967168807983
19,44,-0.019410911108255668,0.14008463626524068,-1.0,0.0010854755397555998,3,279.00967168807983
20,46,0.0005928905591721863,0.0003913562396827728,0.0,0.0012179266324304741,3,279.00967168807983
21,44,0.0005659259491621076,0.00043711566352955077,3.1696760219668206e-08,0.0012179266324304741,3,279.00967168807983
22,44,-0.019369385737289576,0.14009074513632977,-1.0,0.0011123634934460428,3,279.00967168807983
23,44,0.0006785830087145429,0.0004116205677731042,0.0,0.0011123634934460428,3,279.00967168807983
24,45,-0.019432657705319,0.140081707453405,-1.0,0.0011123634934460428,3,279.00967168807983
25,44,0.0006345936153230987,0.00043015946206537533,0.0,0.0011123634934460428,3,279.00967168807983
