gen,nevals,avg,stddev,min,max,method,time
0,50,0.0,0.0,0.0,0.0,1,470.30527091026306
1,46,2.9218801219950186e-13,5.199523784265935e-13,0.0,1.2174500508312578e-12,1,470.30527091026306
2,47,2.179104445860162e-10,4.2531185956674447e-10,0.0,1.715727874615181e-09,1,470.30527091026306
3,48,1.6991096383710295e-09,3.6267152396068493e-09,0.0,1.3748352374274058e-08,1,470.30527091026306
4,42,1.9844435420044626e-08,7.923874450586683e-08,0.0,4.297428295539184e-07,1,470.30527091026306
5,45,3.523179407311064e-08,9.299134568667932e-08,0.0,4.297428295539184e-07,1,470.30527091026306
6,42,-0.019999887110544335,0.14000001612715807,-1.0,5.471819247736921e-07,1,470.30527091026306
7,42,2.2206511581204018e-07,2.375088619906724e-07,0.0,1.269770778960531e-06,1,470.30527091026306
8,46,-0.019999527005231107,0.14000006757359018,-1.0,6.056593031530246e-06,1,470.30527091026306
9,45,1.743821926058895e-06,3.627526110458547e-06,0.0,1.9866269750948533e-05,1,470.30527091026306
10,44,1.8200740335625346e-05,8.93863113103833e-05,0.0,0.0006324027386901702,1,470.30527091026306
11,46,-0.01995134642717329,0.14000701075945382,-1.0,0.0006324027386901702,1,470.30527091026306
12,39,0.0001836034837207138,0.0003455854072218062,0.0,0.00197430641873399,1,470.30527091026306
13,48,0.00034011474149090863,0.00047153644803054446,0.0,0.00197430641873399,1,470.30527091026306
14,43,0.0004377012814413366,0.0004978862813579311,0.0,0.00197430641873399,1,470.30527091026306
15,48,0.0004303875348181619,0.0005312250644578186,0.0,0.002048115989603151,1,470.30527091026306
16,43,-0.019450880848044663,0.14007992389951274,-1.0,0.002048115989603151,1,470.30527091026306
17,46,0.0004944599506308896,0.0006629961637800786,4.201420354034036e-13,0.002048115989603151,1,470.30527091026306
18,46,-0.019348404817537194,0.14009507621159073,-1.0,0.002048115989603151,1,470.30527091026306
19,45,0.0006958393756243692,0.0007481003126376292,0.0,0.002048115989603151,1,470.30527091026306
20,47,0.0006724017823369763,0.000828948281120117,0.0,0.0021205076081314833,1,470.30527091026306
21,41,0.0007397803402855849,0.0008470314183946825,0.0,0.002090095157611945,1,470.30527091026306
22,47,0.0008612602517698233,0.0008928639853690864,3.684528342033911e-08,0.002090095157611945,1,470.30527091026306
23,45,-0.019132795944980557,0.14012697232197802,-1.0,0.0020923645754996716,1,470.30527091026306
24,45,-0.019015329716133185,0.14014386342248694,-1.0,0.0020926648394211096,1,470.30527091026306
25,43,0.0011624663498478807,0.000950114681693666,0.0,0.0020926648394211096,1,470.30527091026306
26,43,0.0009952573390061537,0.0009573803075424193,5.959590629773773e-08,0.0020926648394211096,1,470.30527091026306
27,49,0.000634551411512341,0.0008410136358401607,4.486955187444181e-08,0.0020923645754996716,1,470.30527091026306
28,44,0.0008527711453325845,0.0008850013808807591,2.359099559482544e-08,0.0020923645754996716,1,470.30527091026306
29,46,0.0010416897707266073,0.00092811855113317,7.190552142609843e-08,0.0020956476509974412,1,470.30527091026306
30,45,0.0011898036328580614,0.000964687015612003,7.411710472738529e-08,0.0020956476509974412,1,470.30527091026306
31,46,0.0009676024974828674,0.0009305631420573225,0.0,0.0020956476509974412,1,470.30527091026306
32,46,-0.03898975002771774,0.1961677186825979,-1.0,0.002134668502887334,1,470.30527091026306
33,45,0.000884177226365814,0.0009187574889924908,0.0,0.002134668502887334,1,470.30527091026306
34,43,0.0008477932300416325,0.0009634080166164372,0.0,0.00229627750238872,1,470.30527091026306
35,46,-0.018934646413415954,0.14015519428393325,-1.0,0.00229627750238872,1,470.30527091026306
36,46,0.0010553033125581645,0.0009644482757954748,7.838005289110012e-08,0.002188688932451084,1,470.30527091026306
37,48,0.0009377090294242784,0.000978027484788766,5.959590629773773e-08,0.002571243198774325,1,470.30527091026306
38,44,0.0010616333183632754,0.0009522296653420673,5.959590629773773e-08,0.002571243198774325,1,470.30527091026306
39,44,-0.0189238653843559,0.140156979479533,-1.0,0.002571243198774325,1,470.30527091026306
40,44,-0.018809636129083436,0.1401741511114191,-1.0,0.002571243198774325,1,470.30527091026306
41,45,0.001166633550002385,0.001108472564639014,2.187143527046399e-07,0.0029071727995372554,1,470.30527091026306
42,48,0.0010411200380265246,0.001036623068435492,6.710520260993308e-07,0.002571243198774325,1,470.30527091026306
43,47,0.0011387966985452718,0.0010777580797706255,0.0,0.002571243198774325,1,470.30527091026306
44,45,0.001121047813963953,0.001084686592636877,5.959590629773773e-08,0.002571243198774325,1,470.30527091026306
45,44,0.000899289160421408,0.0010593620201604283,0.0,0.002571243198774325,1,470.30527091026306
46,47,-0.01866386737662088,0.1401950643291728,-1.0,0.002719530669546649,1,470.30527091026306
47,44,-0.018783275607567346,0.14017813162137768,-1.0,0.0029139954233335236,1,470.30527091026306
48,47,0.001269772978822324,0.0011408306219245947,6.710520260993308e-07,0.0029139954233335236,1,470.30527091026306
49,46,0.0012621454025260426,0.0011810665676306952,6.900405288478354e-08,0.0029139954233335236,1,470.30527091026306
