gen,nevals,avg,stddev,min,max,method,format,time
0,50,-0.2689414213699951,0.0,-0.2689414213699951,-0.2689414213699951,1,9,1672.0011172294617
1,48,-0.20605125164388657,0.07390471020403276,-0.2689414213699951,-0.11920292202211769,1,9,1672.0011172294617
2,49,-0.15751899573654451,0.11650428472881416,-0.2689414213699951,0.21734036042525823,1,9,1672.0011172294617
3,48,-0.07878582700965314,0.14545231634826764,-0.2689414213699951,0.3067915001397764,1,9,1672.0011172294617
4,47,0.044444366439231865,0.14575924607496482,-0.2689414213699951,0.3067915001397764,1,9,1672.0011172294617
5,46,0.11552978003666366,0.15063182033916103,-0.2689414213699951,0.42029717069889455,1,9,1672.0011172294617
6,47,0.1792327540543346,0.11762362582562594,-0.11920292202211769,0.4280146607697283,1,9,1672.0011172294617
7,44,0.21525633045964454,0.12465967023569173,-0.047425873177566635,0.5156691957636884,1,9,1672.0011172294617
8,44,0.24304430993119588,0.14844499816536896,-0.11920292202211769,0.515662290196087,1,9,1672.0011172294617
9,47,0.25455791978217013,0.15606389600334453,-0.2689414213699951,0.5386478165310544,1,9,1672.0011172294617
10,45,0.2608791608765139,0.16451648184957457,-0.11920292202211769,0.5814433535447115,1,9,1672.0011172294617
11,46,0.29024790035183257,0.18601901138953106,-0.047425873177566635,0.6905319972618177,1,9,1672.0011172294617
12,47,0.27924423360944667,0.18912476443415663,-0.047425873177566635,0.6158827943412768,1,9,1672.0011172294617
13,44,0.32155923855137303,0.19176161006149686,-0.047425873177566635,0.6548981738759995,1,9,1672.0011172294617
14,47,0.2853716479413657,0.1852325424442455,-0.11920292202211769,0.6012037245466626,1,9,1672.0011172294617
15,46,0.28318448834980076,0.1987352784808239,-0.11920292202211769,0.6004483808769049,1,9,1672.0011172294617
16,45,0.31852206640179065,0.20324797610792267,-0.11920292202211769,0.6004483808769049,1,9,1672.0011172294617
17,48,0.3051735280079241,0.19105627020879742,-0.01798620996209155,0.6178842124216594,1,9,1672.0011172294617
18,46,0.22958366900311902,0.2034736603573294,-0.2689414213699951,0.6178842124216594,1,9,1672.0011172294617
19,46,0.3264757039478781,0.16523570464742632,-0.047425873177566635,0.5478674069480284,1,9,1672.0011172294617
20,48,0.3000656763572116,0.16899232323003188,-0.047425873177566635,0.7064189121995245,1,9,1672.0011172294617
21,46,0.3978162890399478,0.2090312880501838,-0.11920292202211769,0.7831786729806096,1,9,1672.0011172294617
22,50,0.330122388979964,0.1828110944267675,-0.11920292202211769,0.7107128398035826,1,9,1672.0011172294617
23,48,0.3882349519921718,0.16919298815589837,0.11163962518557628,0.7700695105466413,1,9,1672.0011172294617
