gen,nevals,avg,stddev,min,max,method,format,time
22,48,-0.010533333511724722,0.0012220205940687565,-0.013333342075134896,-0.009999999999999724,0,1,1564.2747914791107
23,45,-0.010733333680710366,0.0013808216659148404,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
24,45,-0.010866671282726927,0.0014621219345603306,-0.013333577380400058,-0.009999999999999724,0,1,1564.2747914791107
25,41,-0.010800000028606422,0.0014236104845102033,-0.013333335485024562,-0.009999999999999724,0,1,1564.2747914791107
26,45,-0.010666670792216908,0.0013333415846062471,-0.013333494883244324,-0.009999999999999724,0,1,1564.2747914791107
27,44,-0.01084941397559331,0.001437793228678841,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
28,48,-0.01086666630106583,0.001462113529846706,-0.013333335485024562,-0.009999999999999724,0,1,1564.2747914791107
29,39,-0.01064942198059796,0.0013039917058254918,-0.013333578552229738,-0.009999999999999724,0,1,1564.2747914791107
30,47,-0.010866667705791389,0.0014621158996980179,-0.013333363371864906,-0.009999999999999724,0,1,1564.2747914791107
31,47,-0.01053332866602966,0.0012220094915925826,-0.013333335485024562,-0.009999999999999724,0,1,1564.2747914791107
32,43,-0.010599995397222029,0.0012806150235949137,-0.013333333331737479,-0.009999999999999724,0,1,1564.2747914791107
33,47,-0.010799991613830454,0.00142359551115114,-0.013333353870932606,-0.009999999999999724,0,1,1564.2747914791107
34,47,-0.010466666321367018,0.00115662258237728,-0.01333333342621272,-0.009999999999999724,0,1,1564.2747914791107
35,45,-0.010266674663095172,0.0009043377821005056,-0.013333571604116313,-0.009999999999999724,0,1,1564.2747914791107
36,43,-0.010399995016165151,0.001083191624715112,-0.013333333335673245,-0.009999999999999724,0,1,1564.2747914791107
37,48,-0.01036666627849384,0.0011200185642689497,-0.014999991645223898,-0.009999999999999724,0,1,1564.2747914791107
38,46,-0.010599991950564465,0.0012806076678700045,-0.01333333342621272,-0.009999999999999724,0,1,1564.2747914791107
39,44,-0.010999992964545702,0.001527514485266655,-0.013333348710330248,-0.009999999999999724,0,1,1564.2747914791107
