gen,nevals,avg,stddev,min,max,method,format,time
0,50,-0.2689414213699951,0.0,-0.2689414213699951,-0.2689414213699951,1,4,395.18708324432373
1,46,-0.24797803146129227,0.05195731738368808,-0.2689414213699951,-0.11920292202211769,1,4,395.18708324432373
2,46,-0.15226907991182623,0.06703652255983464,-0.2689414213699951,-0.047425873177566635,1,4,395.18708324432373
3,46,-0.10484751225320749,0.02871081953782042,-0.11920292202211769,-0.047425873177566635,1,4,395.18708324432373
4,50,-0.07330583604509405,0.05793760766389977,-0.2689414213699951,-0.01798620996209155,1,4,395.18708324432373
5,47,-0.04061239110909165,0.03805357346382824,-0.2689414213699951,-0.006692850924284732,1,4,395.18708324432373
6,43,-0.02039581299345853,0.036830607035741834,-0.2689414213699951,-0.002472623156634657,1,4,395.18708324432373
7,43,-0.007683807044178701,0.011866712930893178,-0.047425873177566635,0.057688086144191526,1,4,395.18708324432373
8,49,0.001567741392130189,0.02622941649949219,-0.047425873177566635,0.14888282713608683,1,4,395.18708324432373
9,44,0.03269185351877248,0.06029896562694488,-0.11920292202211769,0.2108468005765209,1,4,395.18708324432373
10,44,0.07292721155553301,0.07574904789395594,-0.11920292202211769,0.22152067510617426,1,4,395.18708324432373
11,46,0.1107107614746504,0.09023176872462832,-0.047425873177566635,0.319699482401703,1,4,395.18708324432373
12,44,0.11697406772072837,0.08216848506575251,-0.047425873177566635,0.22152067510617426,1,4,395.18708324432373
13,47,0.13944375574078166,0.08115880663386946,-0.002472623156634657,0.2779927533667622,1,4,395.18708324432373
14,47,0.11667322527229189,0.10258851707051274,-0.047425873177566635,0.29096561982392505,1,4,395.18708324432373
15,46,0.10526269598169401,0.09775017607751377,-0.11920292202211769,0.2920042778877015,1,4,395.18708324432373
16,47,0.129030559867367,0.13425927443807606,-0.2689414213699951,0.3553723957108161,1,4,395.18708324432373
17,47,0.17750258229570887,0.10596192752753401,-0.01798620996209155,0.3984720558934366,1,4,395.18708324432373
18,43,0.22435468220347807,0.11855250246242764,-0.11920292202211769,0.4643562350559888,1,4,395.18708324432373
19,45,0.25059908341124293,0.1247008612735563,-0.047425873177566635,0.46945731136062324,1,4,395.18708324432373
20,46,0.29918719883689127,0.11241057070824591,0.007816420728188557,0.46945731136062324,1,4,395.18708324432373
