gen,nevals,avg,stddev,min,max,method,format,time
0,50,-0.009999999999999724,0.0,-0.009999999999999724,-0.009999999999999724,0,9,357.59277844429016
1,45,-0.010933312804771849,0.001496630036058383,-0.013333355876822602,-0.009999999999999724,0,9,357.59277844429016
2,44,-0.011200003983614657,0.0016000053133972002,-0.013333709658771781,-0.009999999999999724,0,9,357.59277844429016
3,47,-0.011600006043187498,0.0017625800297777067,-0.01500001456451058,-0.009999999999999724,0,9,357.59277844429016
4,43,-0.011233327854518256,0.001660313984760696,-0.014999983068065421,-0.009999999999999724,0,9,357.59277844429016
5,38,-0.011000003652646447,0.0015275308120864639,-0.013333654907337664,-0.009999999999999724,0,9,357.59277844429016
6,44,-0.011500013040479963,0.0017078391983293808,-0.015000003563601197,-0.009999999999999724,0,9,357.59277844429016
7,48,-0.011676850531579672,0.0018389368462171096,-0.015000003559189313,-0.008842192285917656,0,9,357.59277844429016
8,44,-0.004009267655479821,0.03455914297207985,-0.015999936184929633,0.182413583836695,0,9,357.59277844429016
9,47,-0.0038937466905147565,0.0394530340375093,-0.016000120148411262,0.19404242568320582,0,9,357.59277844429016
10,46,0.0010463995036014554,0.04422314330290262,-0.016666716974887686,0.19404242568320582,0,9,357.59277844429016
11,46,0.022334186320554797,0.07657165804555437,-0.015999988070254337,0.2711425154601352,0,9,357.59277844429016
12,47,0.0945090104948502,0.127554731816011,-0.01666665636636259,0.3565126654319903,0,9,357.59277844429016
13,49,0.1727035633338742,0.1374086374103989,-0.016666672762298995,0.5832250096568227,0,9,357.59277844429016
14,48,0.20008947766620758,0.1439920828835435,-0.01999999999999945,0.5832250096568227,0,9,357.59277844429016
15,46,0.24318417385862073,0.12812254043106214,-0.016666691557997743,0.5832250096568227,0,9,357.59277844429016
16,46,0.20771728922591629,0.13669229419853618,-0.01666665856185049,0.5812788833871099,0,9,357.59277844429016
17,46,0.2574493275293601,0.13015743498143162,-0.016000033694528945,0.5812788833871099,0,9,357.59277844429016
18,46,0.25342538459374425,0.14355772150092277,-0.016666765392457778,0.5210724612844435,0,9,357.59277844429016
19,45,0.2722282735870069,0.17387258922585624,-0.016666664383596454,0.6148817732703117,0,9,357.59277844429016
20,48,0.3131222196329419,0.20221806287682964,-0.017999983623801948,0.8129768196504336,0,9,357.59277844429016
21,46,0.3327040766863312,0.16805772186440127,-0.016666653635307126,0.6148817732703117,0,9,357.59277844429016
22,44,0.30353230474894777,0.19974942144658417,-0.019999996741190042,0.6160312842291793,0,9,357.59277844429016
23,46,0.3005888393076593,0.22904406429215388,-0.020000059582136954,0.7213027159869846,0,9,357.59277844429016
24,46,0.3805078320417005,0.2014213035850252,-0.01599994876176897,0.7904845981181662,0,9,357.59277844429016
25,43,0.3883527870539924,0.2026520491666183,-0.016666673931214588,0.7904845981181662,0,9,357.59277844429016
26,44,0.37878966908688205,0.21762145428596089,-0.01999998359039449,0.7264878464491564,0,9,357.59277844429016
27,49,0.38580775571106707,0.196209466400562,0.0749000798526764,0.8245691007617334,0,9,357.59277844429016
28,45,0.4283112115048595,0.19195538418511682,-0.01600007837423099,0.8245691007617334,0,9,357.59277844429016
29,43,0.40571627830152024,0.20760619186610604,-0.015999935647922056,0.7472282800203015,0,9,357.59277844429016
30,48,0.4643553599742023,0.15941748508763076,-0.009999999999999724,0.7223095950168251,0,9,357.59277844429016
31,47,0.42125942690661516,0.2204194322126199,-0.016666659535435276,0.8227677214520589,0,9,357.59277844429016
32,44,0.4516881432066373,0.2040888386919097,-0.009999999999999724,0.7683995773147435,0,9,357.59277844429016
33,47,0.5647331379261419,0.18412852327049173,0.05093133475485709,0.7880647575254541,0,9,357.59277844429016
34,44,0.4852599198344059,0.22830496562264047,0.07364323001204089,0.8121572805622309,0,9,357.59277844429016
35,46,0.512965483722634,0.212477811437897,-0.015997578121662217,0.8407937806898197,0,9,357.59277844429016
36,43,0.4982473434811539,0.22431741334148608,0.05085660543226809,0.8161801427570513,0,9,357.59277844429016
37,44,0.5171552024636962,0.23544384631653292,-0.016666602939035158,0.9694902384436768,0,9,357.59277844429016
38,47,0.5026479322866573,0.2217633752900329,0.06378765366907568,0.9694902384436768,0,9,357.59277844429016
39,42,0.48912979393984757,0.23682383949184674,-0.014999956418305604,0.9195149953555803,0,9,357.59277844429016
40,41,0.4956961424459335,0.2399059318960474,0.0710152817426184,0.8880593979323143,0,9,357.59277844429016
41,46,0.4849674388394753,0.2626126696843938,-0.016666625317492526,0.9898352498012415,0,9,357.59277844429016
42,48,0.45711965183158115,0.23226202030033383,-0.017499854799240353,0.9466808294431481,0,9,357.59277844429016
43,48,0.41906688779099244,0.21910864513721862,0.07401385307896152,0.8367542567236844,0,9,357.59277844429016
44,47,0.44802613404714686,0.20685689966294946,-0.009999999999999724,0.8462742745016103,0,9,357.59277844429016
45,46,0.4899129914573772,0.20659159956070816,-0.013333355876822602,0.8481544753503133,0,9,357.59277844429016
46,46,0.463148189850727,0.202788597678842,0.07422524371262802,0.8448396367453955,0,9,357.59277844429016
47,44,0.3842568263524359,0.21612933113194405,-0.019999993959523347,0.8047276321467749,0,9,357.59277844429016
48,48,0.4359033086052236,0.1795646132667592,0.1258957332691415,0.8087441055489856,0,9,357.59277844429016
49,48,0.4754313133794368,0.16772709154857654,0.0633487628766935,0.7596435321758551,0,9,357.59277844429016
50,44,0.40715150041162984,0.19570494095272253,-0.014999998969243115,0.7239407296438415,0,9,357.59277844429016
51,46,0.45836355372534243,0.19453792889484586,-0.013333316754764618,0.8087441055489856,0,9,357.59277844429016
52,48,0.4622063799431524,0.2025251898400863,-0.01749998788701139,0.8087441055489856,0,9,357.59277844429016
53,47,0.42291649824745564,0.25384943415426175,-0.02000000104970478,0.8644063495000339,0,9,357.59277844429016
54,44,0.4544327478122981,0.31225491243778203,-1.0,0.8651205560657885,0,9,357.59277844429016
55,48,0.42051811950387796,0.249587287807632,-0.01999994571073496,0.8697820905126303,0,9,357.59277844429016
56,46,0.48946916110203603,0.21978802908316372,0.08657631527395057,0.8810627974143601,0,9,357.59277844429016
57,42,0.4831866822403388,0.22860227598540628,0.08571304469710174,0.8810627974143601,0,9,357.59277844429016
58,45,0.4739360232520171,0.24101934200977382,-0.013333229718679137,0.8931271573263552,0,9,357.59277844429016
59,48,0.4758537277797703,0.2208427543390303,-0.01333335436939037,0.8651205560657885,0,9,357.59277844429016
60,46,0.4481375924884636,0.23319574340718072,-0.017142724213427097,0.8049931198225043,0,9,357.59277844429016
61,45,0.5280122155189869,0.19140424787628607,0.12881388647228129,0.8049931198225043,0,9,357.59277844429016
62,45,0.5239916278801184,0.2067180845138354,-0.016000006056972802,1.013984247103824,0,9,357.59277844429016
63,45,0.5373465777832618,0.21817042353724203,0.0724320929225397,1.013984247103824,0,9,357.59277844429016
64,47,0.455015425456919,0.23638429631399538,0.08849730872368315,0.8908970722713202,0,9,357.59277844429016
65,47,0.5207773256475468,0.20070596624624187,0.06456648234763697,0.8757125416717488,0,9,357.59277844429016
66,47,0.5054996943560393,0.225727903476514,0.10802139212558952,0.9041694981754684,0,9,357.59277844429016
67,46,0.4778837880214123,0.23788773291680346,-0.013333347231316645,1.0066249504724336,0,9,357.59277844429016
68,46,0.4973719838786,0.2321713118186739,-0.016000053408546953,0.90442483516444,0,9,357.59277844429016
69,46,0.4564002012356291,0.43890426017220574,-1.0,0.90442483516444,0,9,357.59277844429016
70,46,0.5505320492944112,0.21746590861365822,0.07855593101818081,0.9417801845425859,0,9,357.59277844429016
71,43,0.5797733808762764,0.31245937776425287,-1.0,0.993364154107055,0,9,357.59277844429016
72,47,0.4984827596469214,0.326606015633456,-1.0,0.9519565628380917,0,9,357.59277844429016
73,48,0.481987472972822,0.2929811763668229,-1.0,0.9519565628380917,0,9,357.59277844429016
