gen,nevals,avg,stddev,min,max,method,format,time
0,50,-0.009999999999999724,0.0,-0.009999999999999724,-0.009999999999999724,0,1,267.80839347839355
1,48,-0.010533333333077764,0.0012220201847366083,-0.013333333331737479,-0.009999999999999724,0,1,267.80839347839355
2,43,-0.010600001244383357,0.0012806275034783427,-0.013333363371864906,-0.009999999999999724,0,1,267.80839347839355
3,43,-0.010733333449500306,0.0013808212305497823,-0.013333339168078316,-0.009999999999999724,0,1,267.80839347839355
4,49,-0.010666666709570448,0.0013333334191414777,-0.013333335485024562,-0.009999999999999724,0,1,267.80839347839355
5,43,-0.010600012487739688,0.0012806515021763954,-0.013333644408535497,-0.009999999999999724,0,1,267.80839347839355
6,47,-0.01060000011651805,0.0012806250961805827,-0.013333339168078316,-0.009999999999999724,0,1,267.80839347839355
7,43,-0.01083333331987216,0.0014999999785262326,-0.015000000042894623,-0.009999999999999724,0,1,267.80839347839355
8,49,-0.010533333333461247,0.001222020185615285,-0.01333333342621272,-0.009999999999999724,0,1,267.80839347839355
9,47,-0.010800000799397714,0.0014236118561508325,-0.013333363371864906,-0.009999999999999724,0,1,267.80839347839355
10,46,-0.010333336873714722,0.0010000106213456724,-0.013333494883244324,-0.009999999999999724,0,1,267.80839347839355
11,49,-0.010800005000636841,0.0014236193325606317,-0.01333347545996493,-0.009999999999999724,0,1,267.80839347839355
12,44,-0.010533332198582773,0.0012220175852949648,-0.01333333342621272,-0.009999999999999724,0,1,267.80839347839355
13,46,-0.010600000069188112,0.0012806249951634496,-0.013333348710330248,-0.009999999999999724,0,1,267.80839347839355
14,42,-0.011066666691713283,0.0015549205418062813,-0.013333348710330248,-0.009999999999999724,0,1,267.80839347839355
15,47,-0.01066666715599107,0.0013333343119894846,-0.013333363371864906,-0.009999999999999724,0,1,267.80839347839355
16,41,-0.01080000030860197,0.0014236109827674185,-0.013333348710330248,-0.009999999999999724,0,1,267.80839347839355
17,50,-0.011000000762239205,0.0015275263960063522,-0.013333363371864906,-0.009999999999999724,0,1,267.80839347839355
18,48,-0.010599999562522493,0.0012806239137496,-0.01333333342621272,-0.009999999999999724,0,1,267.80839347839355
19,43,-0.01106666675300117,0.0015549206311456169,-0.013333335485024562,-0.009999999999999724,0,1,267.80839347839355
20,48,-0.010741605969261197,0.0014270894716877291,-0.014999981359761534,-0.009999999999999724,0,1,267.80839347839355
21,45,-0.010466666666154647,0.0011566234369248234,-0.01333333342621272,-0.009999999999999724,0,1,267.80839347839355
22,47,-0.010666660907035474,0.0013333218149782892,-0.013333495007228578,-0.009999999999999724,0,1,267.80839347839355
