gen,nevals,avg,stddev,min,max,method,format,time
0,50,-0.009999999999999724,0.0,-0.009999999999999724,-0.009999999999999724,0,1,255.5715343952179
1,47,-0.010799999999616785,0.0014236104329227298,-0.013333333331737479,-0.009999999999999724,0,1,255.5715343952179
2,47,-0.010400000599600586,0.001083206744351884,-0.013333363371864906,-0.009999999999999724,0,1,255.5715343952179
3,47,-0.010533328835392087,0.0012220098796141383,-0.013333335485024562,-0.009999999999999724,0,1,255.5715343952179
4,48,-0.010599999996237177,0.0012806248394558867,-0.013333333331737479,-0.009999999999999724,0,1,255.5715343952179
5,42,-0.010799991020508088,0.0014235944550982814,-0.013333363371864906,-0.009999999999999724,0,1,255.5715343952179
6,46,-0.010500000497581539,0.0012583068607583956,-0.015000000042894623,-0.009999999999999724,0,1,255.5715343952179
7,41,-0.010533333931702447,0.0012220215563645373,-0.013333363371864906,-0.009999999999999724,0,1,255.5715343952179
8,47,-0.010399999999965683,0.0010832051205259504,-0.013333333335673245,-0.009999999999999724,0,1,255.5715343952179
9,42,-0.01080000120391196,0.0014236125759922536,-0.013333363371864906,-0.009999999999999724,0,1,255.5715343952179
10,46,-0.010666666370644578,0.001333332741291173,-0.013333333331737479,-0.009999999999999724,0,1,255.5715343952179
11,47,-0.010800000447672287,0.0014236112302497955,-0.013333363371864906,-0.009999999999999724,0,1,255.5715343952179
12,47,-0.01073333426252721,0.0013808227614356555,-0.013333363371864906,-0.009999999999999724,0,1,255.5715343952179
13,46,-0.010666666887789661,0.0013333337755807163,-0.01333334446479493,-0.009999999999999724,0,1,255.5715343952179
14,48,-0.010733333332643657,0.0013808210105157716,-0.013333333335673245,-0.009999999999999724,0,1,255.5715343952179
15,41,-0.01066666697391913,0.0013333339478404087,-0.013333348710330248,-0.009999999999999724,0,1,255.5715343952179
16,45,-0.010766661898291617,0.0014609654242146123,-0.015000000042894623,-0.009999999999999724,0,1,255.5715343952179
17,48,-0.010399999999886968,0.0010832051203127882,-0.013333333335673245,-0.009999999999999724,0,1,255.5715343952179
18,47,-0.010466664779763945,0.0011566187616150793,-0.013333335485024562,-0.009999999999999724,0,1,255.5715343952179
19,45,-0.010599999721299151,0.0012806242526370443,-0.013333335485024562,-0.009999999999999724,0,1,255.5715343952179
20,43,-0.010533326469259068,0.0012220044581614316,-0.0133333333484908,-0.009999999999999724,0,1,255.5715343952179
21,44,-0.010733333119330281,0.0013808206088740164,-0.013333363371864906,-0.009999999999999724,0,1,255.5715343952179
22,42,-0.010666666925823116,0.001333333851647925,-0.013333346305529657,-0.009999999999999724,0,1,255.5715343952179
23,45,-0.010700001524239111,0.0014177471721842085,-0.01499998524778845,-0.009999999999999724,0,1,255.5715343952179
24,47,-0.010400000042873996,0.0010832052367222417,-0.013333335485024562,-0.009999999999999724,0,1,255.5715343952179
25,48,-0.010466666611492911,0.0011566233014474704,-0.013333336068297851,-0.009999999999999724,0,1,255.5715343952179
26,45,-0.010533333266296931,0.0012220200317227719,-0.013333335485024562,-0.009999999999999724,0,1,255.5715343952179
27,44,-0.010733333377520188,0.0013808210950155162,-0.013333335485024562,-0.009999999999999724,0,1,255.5715343952179
28,46,-0.010466667309092539,0.0011566250304393191,-0.013333363371864906,-0.009999999999999724,0,1,255.5715343952179
29,49,-0.0108000029616993,0.0014236157041154101,-0.013333474988984718,-0.009999999999999724,0,1,255.5715343952179
30,46,-0.010733338296452394,0.0013808303577083393,-0.013333560030514715,-0.009999999999999724,0,1,255.5715343952179
31,43,-0.010533332818529507,0.001222019005763229,-0.01333333342621272,-0.009999999999999724,0,1,255.5715343952179
32,46,-0.010666661981340985,0.0013333239629074877,-0.013333333331737479,-0.009999999999999724,0,1,255.5715343952179
33,46,-0.01066666559577071,0.0013333311915613942,-0.01333333342621272,-0.009999999999999724,0,1,255.5715343952179
34,47,-0.0108666667541427,0.0014621142942081347,-0.013333335485024562,-0.009999999999999724,0,1,255.5715343952179
35,47,-0.010536018317362386,0.0012657927085021597,-0.013333491622749457,-0.008396952038702471,0,1,255.5715343952179
36,44,-0.009561077656948209,0.006071900427619258,-0.013333363371864906,0.03207276999387275,0,1,255.5715343952179
37,48,-0.006322209855219108,0.022916357036675074,-0.01500003713676716,0.1502686557506727,0,1,255.5715343952179
38,42,0.01669593721705981,0.05865552325488472,-0.01500010498300818,0.17769172196011981,0,1,255.5715343952179
39,48,0.06325809308509399,0.08243305733696679,-0.014999985430644182,0.27161418799885323,0,1,255.5715343952179
40,46,0.09780855550586835,0.08203987248176894,-0.014999999773061864,0.27161418799885323,0,1,255.5715343952179
41,48,0.15108409088288657,0.08120206003240832,-0.014999999773061864,0.27174048123731187,0,1,255.5715343952179
42,46,0.16329999222118638,0.0993145412829814,-0.014578728641457974,0.2857842498427823,0,1,255.5715343952179
43,44,0.19175867559867274,0.09894074014261228,-0.016000000032352336,0.3377187630151618,0,1,255.5715343952179
