gen,nevals,avg,stddev,min,max,method,format,time
0,50,-0.2689414213699951,0.0,-0.2689414213699951,-0.2689414213699951,1,0,351.77783727645874
1,47,-0.2800681992851654,0.08371816376411179,-0.5,-0.11920292202211769,1,0,351.77783727645874
2,46,-0.2228423637730684,0.09281773809138132,-0.5,-0.047425873177566635,1,0,351.77783727645874
3,46,-0.13276877932551115,0.08876010859702325,-0.5,0.010025200948423124,1,0,351.77783727645874
4,49,-0.06491691896414489,0.06176121543356292,-0.2689414213699951,0.03994893960214945,1,0,351.77783727645874
5,45,0.00028635020410323317,0.049169474751657755,-0.11920292202211769,0.17976086457119542,1,0,351.77783727645874
6,48,0.03327417482105525,0.07200474488774641,-0.11920292202211769,0.17976086457119542,1,0,351.77783727645874
7,48,0.08989683775637848,0.0737764936473224,-0.11920292202211769,0.19709984611368012,1,0,351.77783727645874
8,47,0.1284788326068644,0.060990474526205284,-0.01798620996209155,0.19709984611368012,1,0,351.77783727645874
9,47,0.16546460373348712,0.03851450137419181,0.03329302236606894,0.19709984611368012,1,0,351.77783727645874
10,47,0.17246981234620304,0.0421526216443721,0.02535671034095469,0.24900839926392832,1,0,351.77783727645874
11,46,0.18032075690184537,0.04619271918544729,0.018686328608817894,0.25014861123997983,1,0,351.77783727645874
12,48,0.19158205783813184,0.050891532246194436,0.06850883450509382,0.24918217763211042,1,0,351.77783727645874
13,47,0.19192037702743397,0.0782125116056298,-0.01798620996209155,0.24978475571416875,1,0,351.77783727645874
14,46,0.2247656296486121,0.05224463426452916,0.065043810127735,0.2868544730986247,1,0,351.77783727645874
15,48,0.20607442067939735,0.07771338133528487,-0.006692850924284732,0.3067004697734507,1,0,351.77783727645874
16,46,0.2338969080733073,0.07799390919643173,-0.01798620996209155,0.349022691827939,1,0,351.77783727645874
17,47,0.22623966491768135,0.09277910830141237,0.05580342042540634,0.4263580575841901,1,0,351.77783727645874
18,45,0.2527484457805888,0.08830481581562728,0.008362374239285666,0.4266281449379583,1,0,351.77783727645874
19,46,0.2756446851372551,0.0961994308765219,0.011145665060094258,0.3966113439321688,1,0,351.77783727645874
20,45,0.3135016527373354,0.08830673721498042,0.09638230024278346,0.43721760567512064,1,0,351.77783727645874
21,45,0.34350543476928047,0.09889949900959326,0.07485476249164864,0.44523765053626285,1,0,351.77783727645874
22,46,0.35205451878297994,0.09375559983646153,0.08815212609233045,0.4675976504374007,1,0,351.77783727645874
23,47,0.366416845833887,0.10451482141891189,0.08956883424362537,0.4675976504374007,1,0,351.77783727645874
24,48,0.3778943555704191,0.11179227394112366,0.11353429094005771,0.6044992392753318,1,0,351.77783727645874
25,42,0.3799040817607519,0.1345143976831711,0.05951308134645145,0.6045145583254709,1,0,351.77783727645874
26,50,0.3826488788650179,0.1474399374592319,0.0850138665013743,0.6158185985060852,1,0,351.77783727645874
27,49,0.4208206199988016,0.1724579126434213,-0.01798620996209155,0.6159101148527756,1,0,351.77783727645874
28,45,0.4453863175196272,0.18988718144224676,0.04369559581263161,0.6172403567080148,1,0,351.77783727645874
29,48,0.4602925634349162,0.215837678568699,0.04156318534747874,0.6175375072328114,1,0,351.77783727645874
30,49,0.48337660836135293,0.1876359256015866,0.11860151813150653,0.6190984850752783,1,0,351.77783727645874
31,48,0.4857393860092122,0.19231432326680176,0.04548218466121199,0.6191072927233704,1,0,351.77783727645874
32,43,0.5216924297364105,0.1725486602934084,0.13027537527898844,0.7060017734724618,1,0,351.77783727645874
33,46,0.5412018508486949,0.16746880514855245,0.07199495283690455,0.7071818965013774,1,0,351.77783727645874
34,49,0.5261084598539099,0.16736477174207448,0.15833905417376917,0.7069346147393295,1,0,351.77783727645874
35,42,0.5475280887332005,0.18138818245736943,0.13122773510648822,0.7068902914804723,1,0,351.77783727645874
36,48,0.526526917147309,0.22083317055544965,0.08953776826665058,0.7155742998245977,1,0,351.77783727645874
37,38,0.591411549132359,0.19868914953293437,0.08953776826665058,0.7155742998245977,1,0,351.77783727645874
38,48,0.5757415377359617,0.20220633958566428,0.11378489317640829,0.7219808432404533,1,0,351.77783727645874
39,47,0.5134758583000578,0.2380027616950702,0.1130103935736533,0.7223257858532528,1,0,351.77783727645874
40,46,0.5279408179015369,0.22713060616246888,0.16165802384402791,0.723333164169093,1,0,351.77783727645874
41,45,0.5871786422824109,0.22009380111496998,0.15546892695285297,0.723333164169093,1,0,351.77783727645874
42,45,0.5099879250245388,0.24321852640839542,0.07361359088687816,0.723333164169093,1,0,351.77783727645874
43,49,0.5417229528636172,0.23273847900295874,0.09076330594321903,0.7245536005724765,1,0,351.77783727645874
44,46,0.5483876946602837,0.23952207173502768,0.07361472039090061,0.7245536005724765,1,0,351.77783727645874
45,47,0.5769984838874542,0.21509040790867998,0.19314366091609952,0.7245536005724765,1,0,351.77783727645874
46,49,0.58928077691299,0.2174427838333871,0.1489678571763976,0.7246254541165228,1,0,351.77783727645874
47,47,0.542489421303534,0.23386970428620218,0.11069465378356988,0.7472482749853044,1,0,351.77783727645874
48,46,0.5538382833011629,0.22440118150692318,0.08600454817289634,0.7472482749853044,1,0,351.77783727645874
49,42,0.5735708508767375,0.22624810078162264,0.12749541554191632,0.7472482749853044,1,0,351.77783727645874
50,49,0.49261822272779726,0.2516840942537401,0.15785905097995773,0.7472960366250628,1,0,351.77783727645874
51,47,0.5926466390526023,0.22302684807827558,0.0845495363919609,0.7473485830498037,1,0,351.77783727645874
52,49,0.6140151185765497,0.22022851822995507,0.14655770962094533,0.7586919754287623,1,0,351.77783727645874
53,47,0.6089341569565573,0.22848886888668113,0.08455931409095359,0.7586919754287623,1,0,351.77783727645874
54,46,0.6137846766161698,0.2264909685338628,0.16134799081576806,0.7586919754287623,1,0,351.77783727645874
55,43,0.5942430492531142,0.24067648297524388,0.08293823623043971,0.7586919754287623,1,0,351.77783727645874
56,47,0.6223829096921948,0.22705473756081188,0.09490818840951544,0.7643448929240504,1,0,351.77783727645874
57,50,0.5976566879350974,0.2462573827775496,0.08293790745155177,0.7644240386986042,1,0,351.77783727645874
58,48,0.5940927077364622,0.24512287278720787,0.1529994687524082,0.7644240386986042,1,0,351.77783727645874
59,41,0.6472027111023917,0.21683645371351282,0.09491148899441897,0.7648844194228278,1,0,351.77783727645874
60,45,0.6442140716967815,0.21926026266389906,0.14800545564442627,0.8140316697528162,1,0,351.77783727645874
61,49,0.6045987248521901,0.23281069168709767,0.09437798265322113,0.7649327343585758,1,0,351.77783727645874
62,44,0.6120263587351221,0.23187286521094824,0.09132178046198058,0.7835514900310735,1,0,351.77783727645874
63,45,0.6606153775893915,0.20784351138981136,0.1577104186949533,0.7835705116375532,1,0,351.77783727645874
64,43,0.6794687813968294,0.20175287025403182,0.07736932005842527,0.7835705116375532,1,0,351.77783727645874
65,44,0.6568108254994958,0.2161625323370063,0.14464847258579844,0.784049966187866,1,0,351.77783727645874
66,45,0.6394301765961088,0.23946017934164926,0.09647938666258864,0.784049966187866,1,0,351.77783727645874
67,42,0.6388161516150116,0.23855579418461728,0.08195495021346064,0.7841304050590439,1,0,351.77783727645874
68,47,0.6631916414305432,0.21828787400984645,0.13600671589494712,0.80231430772531,1,0,351.77783727645874
69,49,0.6034003833652837,0.27199858392796045,0.07650062658314409,0.80231430772531,1,0,351.77783727645874
70,48,0.6058461939955205,0.2615612061917117,0.1064934220912564,0.8024268696474645,1,0,351.77783727645874
71,45,0.5980847838148081,0.2767586144056834,0.1003440307257074,0.8024268696474645,1,0,351.77783727645874
72,47,0.6394854104582205,0.25952879156398573,0.10152171818174426,0.8024377936835735,1,0,351.77783727645874
73,47,0.6246353822840838,0.2664804712765712,0.09796582132156868,0.8041728728805916,1,0,351.77783727645874
74,45,0.5791046988700559,0.29446654984397486,0.09796449861828913,0.8041927844802512,1,0,351.77783727645874
75,45,0.6469810920946449,0.253808254126611,0.09794374688331675,0.8302096395037666,1,0,351.77783727645874
76,46,0.61990044763796,0.27866070033472484,0.08457242767200732,0.8303837924590116,1,0,351.77783727645874
77,50,0.5911862737272157,0.28040232055274267,0.084544884187962,0.830130998000879,1,0,351.77783727645874
78,44,0.6108086086341116,0.2729261229592192,0.10798460333829757,0.8302596175869307,1,0,351.77783727645874
79,47,0.5861573306070107,0.29578190959008055,0.0793435614211107,0.8302185097220687,1,0,351.77783727645874
80,48,0.5914083101126052,0.2984259051248082,0.07782043971503738,0.8302185097220687,1,0,351.77783727645874
81,46,0.615995521445098,0.30307589007342056,0.08458332553855448,0.8344799328037794,1,0,351.77783727645874
82,47,0.6330709321937854,0.29284089300318694,0.06748268708066354,0.8344799328037794,1,0,351.77783727645874
83,45,0.662753360027072,0.2822790336120965,0.07936861667362438,0.8378803748882768,1,0,351.77783727645874
84,47,0.6337615205588395,0.2958146164957362,0.08894235020700608,0.8378803748882768,1,0,351.77783727645874
85,50,0.6710784882052815,0.2660187997138157,0.08902355259259738,0.8497524835733955,1,0,351.77783727645874
86,47,0.6210570866876585,0.29256931558367794,0.10335916380751162,0.8496974359653022,1,0,351.77783727645874
87,45,0.6709723482664464,0.2725548112083337,0.10336048984169591,0.8496974359653022,1,0,351.77783727645874
88,48,0.6522076357902342,0.2795269424027533,0.15363000787705886,0.8605937299927724,1,0,351.77783727645874
89,48,0.666489859098869,0.2636400895834725,0.17054788375130736,0.8605937299927724,1,0,351.77783727645874
90,48,0.6585202509649044,0.28584833382918773,0.13375592384713256,0.8606485675159387,1,0,351.77783727645874
