gen,nevals,avg,stddev,min,max,method,format,time
0,50,-0.2689414213699951,0.0,-0.2689414213699951,-0.2689414213699951,1,0,1636.8157863616943
1,48,-0.28931054243036564,0.09409122014501065,-0.5,-0.11920292202211769,1,0,1636.8157863616943
2,43,-0.22265150316431687,0.08092190674499977,-0.5,-0.11920292202211769,1,0,1636.8157863616943
3,46,-0.15281412904360764,0.08940984142274311,-0.5,0.10040034788027322,1,0,1636.8157863616943
4,45,-0.0985798397895315,0.07520880888516747,-0.2689414213699951,0.10040034788027322,1,0,1636.8157863616943
5,41,-0.030490301144906803,0.07344042115697062,-0.2689414213699951,0.11483497057446125,1,0,1636.8157863616943
6,45,0.01546104123964623,0.06070012203624394,-0.11920292202211769,0.13735723990036405,1,0,1636.8157863616943
7,46,0.060487344901162955,0.07444152315379374,-0.11920292202211769,0.25469612823001264,1,0,1636.8157863616943
8,49,0.10007302198255262,0.08381793677924072,-0.11920292202211769,0.27205881738830306,1,0,1636.8157863616943
9,47,0.14463538837132503,0.0577291207346213,-0.047425873177566635,0.27204703292894455,1,0,1636.8157863616943
10,49,0.12576545234594488,0.19166161669971157,-1.0,0.27204703292894455,1,0,1636.8157863616943
11,48,0.18442746242539013,0.07945900583491547,-0.11920292202211769,0.3027556854410927,1,0,1636.8157863616943
12,46,0.21884788870395405,0.06652202554181726,0.02565675169881408,0.31310228538404883,1,0,1636.8157863616943
13,45,0.2252831345344075,0.07178925788243598,0.08111872114792412,0.31466659123337526,1,0,1636.8157863616943
14,43,0.20500209012617468,0.09365434559708075,0.04486429777287547,0.31471792304978896,1,0,1636.8157863616943
15,46,0.21996882484669256,0.10134986106949334,0.023508513595651728,0.34915662512104373,1,0,1636.8157863616943
16,46,0.27126236841837487,0.08689239937349265,0.04221677393594475,0.37418867466660766,1,0,1636.8157863616943
17,46,0.23743467668138174,0.10241245389180283,0.07667884352795179,0.37418867466660766,1,0,1636.8157863616943
18,46,0.2782043286398294,0.10373521129457791,0.0021591309792029813,0.3741736491346369,1,0,1636.8157863616943
19,48,0.2786495388389101,0.10538281991177037,0.04396347494587863,0.3741736491346369,1,0,1636.8157863616943
20,45,0.25750684646111965,0.12783154087404042,0.05075622801418838,0.37417616139394727,1,0,1636.8157863616943
21,47,0.2766397878405393,0.12166961496522849,0.06632603526310263,0.379912844458777,1,0,1636.8157863616943
22,48,0.3170089213212629,0.09898355582233333,0.09651756339087227,0.379912844458777,1,0,1636.8157863616943
23,47,0.2797189312640864,0.12459257610910507,0.05310585210611531,0.37992598788275134,1,0,1636.8157863616943
24,44,0.2733140772371996,0.1252628605388575,0.053058343630199054,0.4307951814873659,1,0,1636.8157863616943
25,49,0.2829667640631458,0.12560027480336447,0.053021551046051205,0.4307951814873659,1,0,1636.8157863616943
26,39,0.3310645525078981,0.10887497957589481,0.07870219736772144,0.4307951814873659,1,0,1636.8157863616943
27,46,0.2965696027585746,0.13037952192727845,0.07870219736772144,0.46075439598294804,1,0,1636.8157863616943
28,48,0.2861390816921944,0.1472295742435306,0.0524113322449402,0.4607726668942846,1,0,1636.8157863616943
29,43,0.31972617206737547,0.14504899750024092,0.05727791950625374,0.46194075713696814,1,0,1636.8157863616943
30,47,0.3468805144437194,0.14411651012175414,0.07870219736772144,0.46194075713696814,1,0,1636.8157863616943
31,42,0.3084557212651375,0.16751642435434777,0.05681255132364158,0.46194075713696814,1,0,1636.8157863616943
32,46,0.32953079959261566,0.16584140292514662,0.060033147901359496,0.4814244850970967,1,0,1636.8157863616943
33,49,0.3483897783882429,0.1579842567510517,0.08526180621159571,0.5041348200111766,1,0,1636.8157863616943
34,45,0.37186714241576363,0.14698494973336465,0.065378829231877,0.5041348200111766,1,0,1636.8157863616943
35,45,0.3692248499599283,0.1594706092176119,0.061715735628249856,0.5041348200111766,1,0,1636.8157863616943
36,48,0.3848984771540722,0.14821046510754537,0.06275943760354466,0.5044272647450505,1,0,1636.8157863616943
37,45,0.38728839204430865,0.16933999205725048,0.06171828244967071,0.5044272647450505,1,0,1636.8157863616943
