gen,nevals,avg,stddev,min,max,mutation,time
0,50,0.2183692722588085,0.0,0.2183692722588085,0.2183692722588085,0.3,119.04977083206177
1,47,0.06439504076715923,0.10838783459653095,-0.016000014422940426,0.3565165583055414,0.3,119.04977083206177
2,45,0.09047168490036028,0.12948321011213515,-0.01666670088867381,0.5144437784927188,0.3,119.04977083206177
3,47,0.13031247830347678,0.14529512889625718,-0.016666666377753204,0.5830356021928772,0.3,119.04977083206177
4,46,0.15907991701736038,0.14630644699349796,-0.016666643453099057,0.5145370512091344,0.3,119.04977083206177
5,49,0.18547466109249378,0.1478961251193432,-0.01999999999999945,0.6478947870648435,0.3,119.04977083206177
6,46,0.2214450730668591,0.16812004225131502,-0.01999999999999945,0.6492536659687045,0.3,119.04977083206177
7,48,0.26005078919367897,0.182856567132359,-0.017500283093113588,0.6503731177974565,0.3,119.04977083206177
8,43,0.2529625189949086,0.17969891793814494,-0.017777703088600508,0.8046006754880678,0.3,119.04977083206177
9,49,0.23577545978665526,0.17338830332745,-0.020000018521585273,0.6154115946542222,0.3,119.04977083206177
10,48,0.2568676391423319,0.16573685058154639,-0.017500003157527998,0.6397045364718206,0.3,119.04977083206177
11,46,0.25340821839985717,0.18251817377157817,-0.017142881550326495,0.7059840837857206,0.3,119.04977083206177
12,43,0.2773143216123472,0.16415401724982068,-0.01999999999999945,0.7059840837857206,0.3,119.04977083206177
13,45,0.24061117985325564,0.10867892735237356,-0.016666680011400342,0.49565464591932995,0.3,119.04977083206177
14,48,0.2727948000279724,0.11343803002238262,-0.02000000038533727,0.5832876349574255,0.3,119.04977083206177
15,47,0.2477476763327099,0.13778201459562578,-0.01999998375700255,0.5197519279559024,0.3,119.04977083206177
16,45,0.2619741196410565,0.10965276846044893,-0.02000000054577584,0.5022788703752507,0.3,119.04977083206177
17,47,0.27710716697494175,0.11804243668585065,-0.017142906104134457,0.580023095609557,0.3,119.04977083206177
18,48,0.27961550844739946,0.1263953735164556,-0.020000000208126204,0.5788990611827513,0.3,119.04977083206177
19,47,0.2694280251473967,0.14208405032377538,-0.017499957687400206,0.6300558001162512,0.3,119.04977083206177
20,45,0.29488054094016464,0.14860530564367644,-0.017777725169106817,0.6300558001162512,0.3,119.04977083206177
21,42,0.3115434725778976,0.1736294231015239,-0.017499996814119255,0.6461618134099103,0.3,119.04977083206177
22,46,0.206626707976766,0.1733976362465357,-0.020000023901740598,0.6300558001162512,0.3,119.04977083206177
23,44,0.24423078235148876,0.16725940894611063,-0.01777779872501507,0.6300798179952078,0.3,119.04977083206177
