gen,nevals,avg,stddev,min,max,mutation,time
0,50,0.2183692722588085,0.0,0.2183692722588085,0.2183692722588085,0.4,127.76093411445618
1,47,0.0719266524809063,0.103430930872175,-0.01999999999999945,0.2356371011865615,0.4,127.76093411445618
2,48,0.07602891752004183,0.10460473102552373,-0.0166666568962513,0.2356371011865615,0.4,127.76093411445618
3,48,0.0697024336966809,0.10409402556604845,-0.020000035465154452,0.29605087887627074,0.4,127.76093411445618
4,47,0.12105704886972499,0.10851232885755124,-0.01666666957893608,0.3266631456845615,0.4,127.76093411445618
5,46,0.16456437548892244,0.11222578142106007,-0.01666666743295461,0.39982748864656703,0.4,127.76093411445618
6,43,0.1961471367736739,0.1157859314249405,-0.017142840836047835,0.5347769714894093,0.4,127.76093411445618
7,44,0.20300748371510746,0.13735950957170306,-0.020000032704524787,0.5146114830151544,0.4,127.76093411445618
8,46,0.2270073307662481,0.1336355310471649,-0.02000001512256892,0.5623614980978145,0.4,127.76093411445618
9,45,0.2678790204763044,0.12649599309751225,-0.015999996695970294,0.6423809256452144,0.4,127.76093411445618
10,46,0.24182648497349363,0.14113758128377435,-0.020000000088673368,0.6153514663714235,0.4,127.76093411445618
11,47,0.24651760766451772,0.11786199323787,-0.020000005162454766,0.6950629225049366,0.4,127.76093411445618
12,40,0.2539898194708233,0.14696553936441661,-0.01999999999999945,0.6950629225049366,0.4,127.76093411445618
13,49,0.22910616621070334,0.14310531834228815,-0.020000012599378066,0.5044145171866313,0.4,127.76093411445618
14,46,0.2117110975813375,0.12703417672187595,-0.02000000947837213,0.4688388986291889,0.4,127.76093411445618
15,46,0.2843013882704999,0.10071665327601691,-0.01599997208046067,0.5919381688755492,0.4,127.76093411445618
16,45,0.2397827962471102,0.09786389555282934,0.05586348553703268,0.4967069954085886,0.4,127.76093411445618
17,48,0.20045597152096156,0.10156699541269458,-0.01800000758431159,0.43190395598589176,0.4,127.76093411445618
18,43,0.22621031358763807,0.12780772131124377,-0.02000002626990176,0.5186777276110276,0.4,127.76093411445618
19,48,0.23272893376616213,0.13767867445239024,-0.020000017304936637,0.5764210386847042,0.4,127.76093411445618
20,47,0.2432354777625887,0.1191237450388469,-0.01777774837770728,0.5764210386847042,0.4,127.76093411445618
21,46,0.26835050496709156,0.13203224350887144,-0.018181817077048832,0.5764210386847042,0.4,127.76093411445618
22,45,0.25482251819118273,0.1294867714436174,-0.01666666995986752,0.6011901694637202,0.4,127.76093411445618
23,48,0.249726449661251,0.08868360451497793,-0.019999962020003766,0.43941541707316384,0.4,127.76093411445618
24,47,0.26557863812815147,0.09849366131740435,0.07973443351218813,0.5333590397135011,0.4,127.76093411445618
25,47,0.28359799377793166,0.08746406230739073,0.0682355289040871,0.4892291906173722,0.4,127.76093411445618
26,47,0.2620329111969608,0.09632425745443149,-0.017758059138328855,0.5252395544168512,0.4,127.76093411445618
27,47,0.27092239015070385,0.10562330934963697,-0.0200000334497255,0.4336653138745757,0.4,127.76093411445618
28,43,0.2602915671120007,0.11840582097631115,-0.017499990995094073,0.48954086761443905,0.4,127.76093411445618
29,46,0.2672032782786479,0.12773645830458577,-0.015999998681769354,0.6630417050297811,0.4,127.76093411445618
30,50,0.26469433253264857,0.13125385866459222,-0.019999999866158167,0.6962481849657193,0.4,127.76093411445618
31,49,0.2211651419518758,0.32250110422859046,-1.0,0.6144571469608393,0.4,127.76093411445618
32,46,0.24456157014291222,0.2100532231769367,-1.0,0.6143964912601632,0.4,127.76093411445618
33,45,0.234238088761044,0.2670940111635266,-1.0,0.47090719081760607,0.4,127.76093411445618
34,46,0.2151023631349507,0.31970521901832155,-1.0,0.47090719081760607,0.4,127.76093411445618
35,47,0.2587691734076368,0.1986536949807153,-1.0,0.47216842342241805,0.4,127.76093411445618
36,44,0.29242347571744043,0.19996415275516521,-1.0,0.5046337321092239,0.4,127.76093411445618
37,47,0.20344413010243248,0.3658553672507261,-1.0,0.4865030162849449,0.4,127.76093411445618
38,45,0.24060812657259448,0.32159876365713186,-1.0,0.47763058518992,0.4,127.76093411445618
39,46,0.11221941293238541,0.4917517365134275,-1.0,0.49819915749535065,0.4,127.76093411445618
40,45,0.20639934977825983,0.36330938550485714,-1.0,0.44730718627545646,0.4,127.76093411445618
41,48,0.19018905114708884,0.40441888499389267,-1.0,0.488681998666459,0.4,127.76093411445618
42,47,0.18646841594487293,0.40534265306944167,-1.0,0.6175962083710387,0.4,127.76093411445618
43,47,0.21041807484443406,0.3172758121742693,-1.0,0.45003627832554566,0.4,127.76093411445618
44,47,0.156054725086802,0.4375849805658422,-1.0,0.6757909852799945,0.4,127.76093411445618
45,48,0.22924036139641665,0.3189148093195247,-1.0,0.4637710714783471,0.4,127.76093411445618
46,46,0.1700026610451655,0.39898434768005525,-1.0,0.519425166375433,0.4,127.76093411445618
47,46,0.24585908935753253,0.2695502957076532,-1.0,0.519425166375433,0.4,127.76093411445618
48,46,0.14387905037102194,0.43139640119693057,-1.0,0.519425166375433,0.4,127.76093411445618
49,49,0.2205956680517322,0.26123258574849767,-1.0,0.42769384320155013,0.4,127.76093411445618
50,45,0.22889634570729117,0.32537139711396884,-1.0,0.5107839891988749,0.4,127.76093411445618
51,43,0.3055823463139953,0.0832107851428924,0.1107216183949992,0.5107839891988749,0.4,127.76093411445618
52,46,0.2133281597383314,0.3171485079355887,-1.0,0.5107839891988749,0.4,127.76093411445618
53,47,0.24918340453093302,0.26746258548732216,-1.0,0.529961345965969,0.4,127.76093411445618
54,45,0.2070388794810488,0.36707850386728175,-1.0,0.5716558567486096,0.4,127.76093411445618
55,47,0.23291611093915524,0.32165724243056465,-1.0,0.529961345965969,0.4,127.76093411445618
56,44,0.30208420719446905,0.21496647431632268,-1.0,0.529961345965969,0.4,127.76093411445618
57,47,0.27489562110332644,0.20568657678593213,-1.0,0.529961345965969,0.4,127.76093411445618
58,47,0.24214727592313928,0.26209421272058353,-1.0,0.4348563924587005,0.4,127.76093411445618
59,47,0.2831257157188522,0.22759261283155272,-1.0,0.8688454094044883,0.4,127.76093411445618
60,42,0.2545077520972989,0.2839836909680798,-1.0,0.65266120270242,0.4,127.76093411445618
61,45,0.28955055434123567,0.1025060115375237,-0.018000006279589913,0.5289950469430303,0.4,127.76093411445618
62,43,0.31337909032878,0.08464532575105616,0.17062841363914077,0.5289950469430303,0.4,127.76093411445618
63,46,0.2174855080806666,0.3681846321433159,-1.0,0.5179141593852685,0.4,127.76093411445618
64,45,0.18873950398621414,0.4042772421171314,-1.0,0.5167674674260437,0.4,127.76093411445618
65,44,0.24401181543054232,0.3305351089506095,-1.0,0.5170054927085144,0.4,127.76093411445618
66,44,0.28134888273658376,0.2833725072415971,-1.0,0.5243405842679671,0.4,127.76093411445618
67,48,0.20718392473803088,0.36892393395209416,-1.0,0.5690525752633258,0.4,127.76093411445618
68,49,0.2672393658970576,0.2713405374766079,-1.0,0.5268198682620745,0.4,127.76093411445618
69,48,0.20738659935444193,0.3660065154489135,-1.0,0.48819333887311267,0.4,127.76093411445618
70,48,0.1783619132852217,0.39885233566397454,-1.0,0.47698571292237,0.4,127.76093411445618
71,47,0.22017341961814488,0.3175719135448474,-1.0,0.47698571292237,0.4,127.76093411445618
72,46,0.2047349100493148,0.366220712293391,-1.0,0.596672066262492,0.4,127.76093411445618
