gen,nevals,avg,stddev,min,max,mutation,time
0,50,0.2183692722588085,0.0,0.2183692722588085,0.2183692722588085,0.1,103.59995484352112
1,47,0.05985014216579344,0.12203003014880655,-0.016666665750122694,0.5145370512091344,0.1,103.59995484352112
2,47,0.12974929425042606,0.13992415504207373,-0.01666667047905471,0.5144437784927188,0.1,103.59995484352112
3,46,0.13864699222428292,0.1207755556441766,-0.01999999999999945,0.36984903366882377,0.1,103.59995484352112
4,42,0.16061842643946178,0.13822958099670227,-0.0160003071059903,0.5812795529908978,0.1,103.59995484352112
5,44,0.22441381908189495,0.16973642902123082,-0.016000102620672897,0.5829507088928488,0.1,103.59995484352112
6,45,0.23113437912376258,0.158773386828038,-0.01999999999999945,0.5813516308050313,0.1,103.59995484352112
7,45,0.2732786301603997,0.17470855876354438,-0.017142849411402962,0.5812795529908978,0.1,103.59995484352112
8,47,0.22021290286821704,0.1966841038794216,-0.017142895325279163,0.5812795529908978,0.1,103.59995484352112
9,47,0.2802045339207455,0.17985315804125349,-0.017777690633167465,0.5968103117088567,0.1,103.59995484352112
10,48,0.273362931296897,0.20454281192033508,-0.016000089569607627,0.8129768196504336,0.1,103.59995484352112
11,47,0.3133766509168539,0.23496414595424261,-0.016666673931214588,0.8123082668511129,0.1,103.59995484352112
12,43,0.33244928363677034,0.2540773911243066,-0.019999988401641928,0.8123082668511129,0.1,103.59995484352112
13,44,0.34804525652992874,0.2453637824980313,-0.017142829982152226,0.7325050562336597,0.1,103.59995484352112
14,42,0.33907896865089443,0.24821386188880543,-0.01749990875850499,0.8137562771947615,0.1,103.59995484352112
15,46,0.3170081755293319,0.2440872017726528,-0.019999998163770554,0.8137562771947615,0.1,103.59995484352112
16,49,0.27556238491273927,0.1995266943446351,-0.017142897526694248,0.7050304764772399,0.1,103.59995484352112
17,47,0.33748363364020123,0.18961631764308345,-0.016000033694528945,0.8123082668511129,0.1,103.59995484352112
18,48,0.29526518573795923,0.1727088414586589,-0.01714286191898623,0.6947512700720965,0.1,103.59995484352112
19,42,0.3222569812176431,0.1958018047836639,-0.01714292344758302,0.6947512700720965,0.1,103.59995484352112
20,45,0.3296269552030005,0.18555519866091422,-0.017777757192977712,0.7020329202813912,0.1,103.59995484352112
21,44,0.32776430261497447,0.19997669113588598,-0.0200000026432562,0.7037249703745024,0.1,103.59995484352112
22,48,0.3002523506018451,0.18149337475325852,-0.01777777380242578,0.6971318740440116,0.1,103.59995484352112
23,45,0.3334950084046322,0.20767019121877336,-0.01714292344758302,0.7058574836124418,0.1,103.59995484352112
24,47,0.3152257995744707,0.19532616041833956,-0.01714292344758302,0.8120828928703502,0.1,103.59995484352112
25,45,0.3662428257984262,0.2088399663367915,-0.017499972640173906,0.8120828928703502,0.1,103.59995484352112
26,48,0.3715265087674516,0.2210264330970011,-0.017142882178750332,0.8137079032944232,0.1,103.59995484352112
27,46,0.3735877779440678,0.18982861498221137,-0.016666606375903503,0.8137079032944232,0.1,103.59995484352112
28,45,0.337716771556853,0.2088134315753035,-0.017499991739603857,0.8137562771947615,0.1,103.59995484352112
29,45,0.31761144951221243,0.15653231741032553,-0.017777741325666497,0.6191991436146248,0.1,103.59995484352112
30,47,0.35474155829760107,0.14370092917818594,-0.013333398333863284,0.6450771687345476,0.1,103.59995484352112
31,48,0.30718502880627774,0.18591022826193626,-0.017142808594199786,0.7827162396439824,0.1,103.59995484352112
32,44,0.3526924162995424,0.17279564206468123,-0.015000081235341557,0.7827162396439824,0.1,103.59995484352112
33,45,0.3721144791410071,0.18195514337044752,-0.017142889603430446,0.7566197898066961,0.1,103.59995484352112
34,46,0.36495937376281373,0.19508534088354762,0.075896782581904,0.8188057481911859,0.1,103.59995484352112
35,49,0.3378507302797501,0.1658313540703957,-0.016000202252423743,0.7219701904912019,0.1,103.59995484352112
36,47,0.3418094422649721,0.16422380226508895,0.09823487111887275,0.8171869281663131,0.1,103.59995484352112
37,45,0.3627920078544458,0.17050243245925498,-0.015999996992514656,0.7550047240905045,0.1,103.59995484352112
38,43,0.376136029240186,0.17301472495631878,-0.015000324673967853,0.7357616327642309,0.1,103.59995484352112
39,46,0.314826459203119,0.20413978420360313,-0.02000000516572635,0.7679864617294829,0.1,103.59995484352112
40,46,0.3818222675544494,0.18370295444254742,-0.016666658916407975,0.6729299509681795,0.1,103.59995484352112
41,47,0.3451835023277243,0.1675077441301006,-0.01818183655536948,0.7379599266016964,0.1,103.59995484352112
42,45,0.31462842855462225,0.3058680478644189,-1.0,0.7379599266016964,0.1,103.59995484352112
43,47,0.38513172489248343,0.1443514219816884,-0.016000032403344078,0.6490506935015969,0.1,103.59995484352112
44,45,0.3684439214847391,0.1568151884126698,-0.01666672228760081,0.6490506935015969,0.1,103.59995484352112
45,48,0.413191896033066,0.17771466265118566,-0.01499984320382457,0.7687689135215483,0.1,103.59995484352112
46,48,0.3388506272248437,0.2622505592314178,-1.0,0.6946623006102898,0.1,103.59995484352112
47,45,0.37378032071889167,0.16608678096927476,-0.017777800599660217,0.6681449963771855,0.1,103.59995484352112
48,46,0.3685053407621535,0.1820010864770699,-0.019999992137450896,0.7029976225082161,0.1,103.59995484352112
49,46,0.4479769459035691,0.16419359465340097,0.09161357489730823,0.7255056167645922,0.1,103.59995484352112
50,49,0.3685455563457202,0.22027458594092028,-0.020000023905506883,0.7254151143654781,0.1,103.59995484352112
51,46,0.3845321571327785,0.19425472009950864,-0.01777779342877878,0.7454851473756444,0.1,103.59995484352112
52,46,0.3980353885479053,0.1722820735196186,-0.01180351149888714,0.7147151907427883,0.1,103.59995484352112
53,47,0.4097246408755343,0.18168870159070027,0.08195164232859287,0.8172420152427325,0.1,103.59995484352112
54,44,0.4433814723598259,0.21016372185220358,-0.019999947902256184,0.8172420152427325,0.1,103.59995484352112
55,46,0.4586336277466099,0.2061729417069682,-0.016000005990355132,0.8333481492858277,0.1,103.59995484352112
56,47,0.4278041209339812,0.21327713425690858,0.07581521980899605,0.9666272014716661,0.1,103.59995484352112
57,47,0.4266387173570372,0.2239914300629173,-0.013333442017808783,0.8212557272158472,0.1,103.59995484352112
58,48,0.4090732561219798,0.1939461674641316,0.11693835371032406,0.770814384802189,0.1,103.59995484352112
59,46,0.43800926008668317,0.22528699043537403,-0.013333347231316645,0.9004794045188104,0.1,103.59995484352112
60,48,0.4066164858664337,0.20840238788196372,-0.020000042114406515,0.8305197667005996,0.1,103.59995484352112
61,42,0.42312058399708485,0.22548842739847305,-0.015999931416166187,0.8947055795385721,0.1,103.59995484352112
62,48,0.4273533564963442,0.22931283263642446,-0.013333355876822602,0.9077702626428816,0.1,103.59995484352112
63,45,0.38745896328783097,0.18802080856101228,0.1027333298951376,0.9077702626428816,0.1,103.59995484352112
64,48,0.42288382195502683,0.1933780639705611,-0.01666662165791214,0.9077702626428816,0.1,103.59995484352112
65,46,0.38676037765477417,0.19506293728334936,-0.013333353258754416,0.8039406164116759,0.1,103.59995484352112
66,45,0.40840470706785514,0.1832516602762482,0.10843162090324783,0.7358361136445464,0.1,103.59995484352112
67,47,0.42696715449675815,0.18156148558941945,0.050597061379417586,0.8589234129949095,0.1,103.59995484352112
68,46,0.41602570226273045,0.20385884737376558,-0.01714295355797164,0.9519507164323857,0.1,103.59995484352112
69,44,0.44457190043671935,0.22415942389992888,-0.014999997923865842,0.9519507164323857,0.1,103.59995484352112
70,46,0.39941381867643694,0.22847377947412023,-0.020000018102464937,0.8939131644804645,0.1,103.59995484352112
71,45,0.40451117929145247,0.22403354903301262,0.08568808948423226,0.9021999268345935,0.1,103.59995484352112
72,45,0.447472015129813,0.22864572394595092,0.08679748629393232,0.8939131644804645,0.1,103.59995484352112
73,45,0.43572424779275726,0.22179202346472546,-0.01714284907645509,0.7920475514797038,0.1,103.59995484352112
74,46,0.38265294757574075,0.2216406663378708,-0.01999999899499328,0.8652954501715417,0.1,103.59995484352112
75,47,0.3835843986923217,0.1868133681056026,0.0747630579232887,0.7878274067146098,0.1,103.59995484352112
76,44,0.4457102100438864,0.20620405474605627,0.09608110990595081,0.7882079825671465,0.1,103.59995484352112
77,46,0.38850356259967694,0.20832257410561628,-0.020000014262835056,0.7882079825671465,0.1,103.59995484352112
78,46,0.4187454588163472,0.17775718055383388,0.0647849306264889,0.7882079825671465,0.1,103.59995484352112
79,44,0.45690228519393455,0.20461831203309758,-0.009999999999999724,0.8155253327849374,0.1,103.59995484352112
80,44,0.4415455269075524,0.20575216992155104,0.16241131454494082,0.7882079825671465,0.1,103.59995484352112
81,46,0.4340885842261421,0.19798178600836364,-0.009999999999999724,0.856122455723164,0.1,103.59995484352112
82,45,0.4052974991060278,0.21354882738800404,-0.013333420189165739,0.8543057580919785,0.1,103.59995484352112
83,46,0.3524107095618174,0.1987372954871002,-0.014999997923865842,0.8543057580919785,0.1,103.59995484352112
84,45,0.37059964016440483,0.1686207707157402,0.09926734692358752,0.7560281614800717,0.1,103.59995484352112
85,45,0.39049802163181846,0.17166746219508058,-0.01714284678371954,0.7560281614800717,0.1,103.59995484352112
86,47,0.38408299210582486,0.15964517799559783,0.12950436455642436,0.8685274771401742,0.1,103.59995484352112
87,46,0.37805540647969155,0.17554422601992414,0.06473741757425257,0.7812428232045964,0.1,103.59995484352112
88,46,0.366850340619907,0.16544015788671734,0.08032378721037012,0.7488644359958234,0.1,103.59995484352112
89,46,0.32952613748920767,0.14643907915246238,0.08713270515522548,0.7014703443193419,0.1,103.59995484352112
90,46,0.3480319678595346,0.1388824758226777,0.09719472637168396,0.6684630513120348,0.1,103.59995484352112
