gen,nevals,avg,stddev,min,max,mutation,time
0,50,0.2183692722588085,0.0,0.2183692722588085,0.2183692722588085,0.1,99.00257754325867
1,44,0.09272153712144389,0.11268344606974402,-0.015000081235341557,0.2817710693296371,0.1,99.00257754325867
2,46,0.11972570866286833,0.15216298854207447,-0.01999999999999945,0.5145370512091344,0.1,99.00257754325867
3,48,0.1475218277824197,0.13793860432268204,-0.015999999134650097,0.42779214648090436,0.1,99.00257754325867
4,44,0.1546071257554323,0.15454907395313344,-0.01714288742727636,0.5813516308050313,0.1,99.00257754325867
5,50,0.17044682574641268,0.15952704202034143,-0.019999989455184743,0.497842784104936,0.1,99.00257754325867
6,46,0.2538728455745979,0.16339869398112764,-0.016666646725937272,0.5832250096568227,0.1,99.00257754325867
7,47,0.2727899537720988,0.1650978711092046,-0.016666695672090483,0.6168125636006943,0.1,99.00257754325867
8,45,0.30759815096261645,0.1833290190939242,-0.016666630541300503,0.6985152710510237,0.1,99.00257754325867
9,48,0.2856751117558869,0.17954785167024553,-0.0199999844803713,0.7063295437166417,0.1,99.00257754325867
10,49,0.3259472126241607,0.20308167556071974,-0.01999998791962844,0.7298705461645106,0.1,99.00257754325867
11,47,0.26727059029883554,0.17812956292410723,-0.017142797109770597,0.7059717743160386,0.1,99.00257754325867
12,46,0.29725230149304027,0.14380089758558606,-0.019999999462967814,0.5997376522744253,0.1,99.00257754325867
13,48,0.2661350747438886,0.17198568580713117,-0.01777775092729133,0.7298705461645106,0.1,99.00257754325867
14,46,0.2868853121699659,0.19660078543058787,-0.020000010069072118,0.7298705461645106,0.1,99.00257754325867
15,44,0.2945022842425584,0.20677449987153593,-0.019999999378261583,0.7298705461645106,0.1,99.00257754325867
16,46,0.29652922304532625,0.14388040464466684,-0.016000002585879754,0.70379002031063,0.1,99.00257754325867
17,43,0.33408245770843764,0.19469426892939135,-0.019999968455670116,0.7301529964462609,0.1,99.00257754325867
18,46,0.27288622301371934,0.21151898997847363,-0.02000000947837213,0.7065960111063435,0.1,99.00257754325867
19,48,0.33243681131704,0.18711809829691295,-0.017142856082243554,0.7065873449117673,0.1,99.00257754325867
20,44,0.3005875744920294,0.2000786101981734,-0.01666666616494047,0.7065960111063435,0.1,99.00257754325867
21,47,0.2674138005508852,0.19454198450786567,-0.017142977978750223,0.7220773343525628,0.1,99.00257754325867
22,45,0.2780149342725884,0.20911559213749506,-0.02000000947837213,0.7220773343525628,0.1,99.00257754325867
23,46,0.3608125772196223,0.22039971277959447,-0.0159999115619266,0.8109616958133246,0.1,99.00257754325867
24,48,0.3245999037467498,0.2304289859117383,-0.020000074961202985,0.7236842789502576,0.1,99.00257754325867
25,46,0.35406154387744804,0.19823731157602817,-0.01600001455973285,0.7236842789502576,0.1,99.00257754325867
26,47,0.3350128650668626,0.22234516402312315,-0.01714283918615417,0.8109616958133246,0.1,99.00257754325867
27,47,0.3692997136946021,0.19011951999964857,0.07448494400350572,0.7030412960663004,0.1,99.00257754325867
28,43,0.4155614911550937,0.1900674905358041,0.0916136990704577,0.8109616958133246,0.1,99.00257754325867
29,47,0.3477920580198504,0.1867425049341781,-0.019999996316746375,0.6184661955530735,0.1,99.00257754325867
30,43,0.36174248868780107,0.22314949169283715,-0.017500052220824725,0.7153273104267859,0.1,99.00257754325867
31,47,0.3471794963997982,0.1907547506251136,-0.016666630541300503,0.6934260980837532,0.1,99.00257754325867
32,47,0.36864832775527545,0.2104424256467903,-0.017777762048070328,0.7063295437166417,0.1,99.00257754325867
33,49,0.29340193111215873,0.1836022958339869,-0.013333333329604943,0.7065960111063435,0.1,99.00257754325867
34,44,0.3765888158280118,0.20067757945557196,-0.017142872219489447,0.7308720495260305,0.1,99.00257754325867
35,43,0.36141515290501175,0.23572890613576628,-0.017142825571736266,0.8726391148855338,0.1,99.00257754325867
36,47,0.34997131468855663,0.23889580840171262,-0.01714273891770868,0.8538555977394935,0.1,99.00257754325867
37,46,0.338136660848136,0.19333815878702235,-0.017777843032842546,0.7023220774968467,0.1,99.00257754325867
38,47,0.2928589204700128,0.1898310680514987,-0.017142875275106367,0.7064313094494644,0.1,99.00257754325867
39,44,0.2991845573377626,0.20677443724370081,-0.01777776407678988,0.7066496690914972,0.1,99.00257754325867
40,46,0.34084243780846946,0.21460685287497996,-0.01600007383641286,0.7035064638333741,0.1,99.00257754325867
41,46,0.3800119944420596,0.21092212768884774,0.09038903278019095,0.7390756092914487,0.1,99.00257754325867
42,46,0.29703287139374346,0.208114042959057,-0.01714288639499251,0.7390756092914487,0.1,99.00257754325867
43,48,0.339976144503909,0.20036169747866964,-0.020000076025084433,0.7380980676791757,0.1,99.00257754325867
44,46,0.36045017133499746,0.2115689468871181,-0.017142837735563764,0.7510962283475852,0.1,99.00257754325867
45,46,0.37548228278244244,0.2003906062836745,-0.01666671792931606,0.7400868487527977,0.1,99.00257754325867
46,50,0.3140733895205846,0.1785632450559431,-0.015999993699151473,0.7424320550772026,0.1,99.00257754325867
47,46,0.32130646919941924,0.1578557418973898,-0.017142641774861182,0.7553921803493117,0.1,99.00257754325867
48,39,0.36011982002664167,0.18335890722998577,0.07239353959428602,0.7553921803493117,0.1,99.00257754325867
49,42,0.3990932225922012,0.20335135440977295,0.09840131386292245,0.7553921803493117,0.1,99.00257754325867
50,42,0.3605238454531348,0.22181554923300575,-0.017143059207338173,0.7553921803493117,0.1,99.00257754325867
51,43,0.308172950020556,0.20800978784069213,-0.013333348669402955,0.7553921803493117,0.1,99.00257754325867
52,44,0.32180132533954015,0.17478852437764134,-0.013333328059998838,0.7553921803493117,0.1,99.00257754325867
53,43,0.3643910378011489,0.21911129041183952,-0.015000493362030798,0.7553921803493117,0.1,99.00257754325867
54,46,0.3556628255031893,0.17836997908161362,0.11529615799193672,0.7638510547549724,0.1,99.00257754325867
55,45,0.3034375365097519,0.19974783186569878,-0.01714286954707728,0.7553921803493117,0.1,99.00257754325867
56,48,0.3405463007526612,0.17819668589036727,-0.020000000545217354,0.7424320550772026,0.1,99.00257754325867
57,46,0.29547838138476773,0.1483722951171824,-0.016000004510442,0.698699645535644,0.1,99.00257754325867
58,47,0.31668127224931697,0.1566900683108809,-0.009999999999999724,0.7062449640723768,0.1,99.00257754325867
59,45,0.3099261226650305,0.1601663333646132,-0.016000014508732185,0.7065223905635006,0.1,99.00257754325867
60,47,0.3043521798675075,0.16732564370515723,-0.016000055528385626,0.7507918335002542,0.1,99.00257754325867
61,49,0.3456342103477676,0.15433865285622397,0.0978151068480699,0.7492706461533141,0.1,99.00257754325867
62,45,0.29725440076325954,0.15362205138379298,-0.016666673249228367,0.6987053125237992,0.1,99.00257754325867
63,43,0.34801772371347184,0.16348585711360297,-0.017142838481715605,0.6987053125237992,0.1,99.00257754325867
64,47,0.3443700323474041,0.172167813313988,-0.0171428581388419,0.6986803566447402,0.1,99.00257754325867
65,47,0.346881516719438,0.16591839684508194,-0.016666710563430942,0.6984430261808122,0.1,99.00257754325867
66,44,0.3695080007617002,0.2017853922712219,-0.016666677538206397,0.8429541939139151,0.1,99.00257754325867
67,46,0.3576241439455835,0.16746854749996207,0.10644984186183797,0.6740263662449253,0.1,99.00257754325867
68,47,0.35278186880138895,0.1576038758894804,-0.015000234783526535,0.6669823503939015,0.1,99.00257754325867
69,42,0.39264300189025464,0.18560407266818665,-0.01777777283675346,0.7765627044808066,0.1,99.00257754325867
70,49,0.3555343666732805,0.21789033775636227,-0.01714273891770868,0.8547931730693624,0.1,99.00257754325867
71,42,0.3960228165570918,0.18638358479212985,0.09886361996518664,0.8459203681920965,0.1,99.00257754325867
72,45,0.39056406063225474,0.1953664493631557,0.09791411518983571,0.8459203681920965,0.1,99.00257754325867
73,46,0.41292861929171853,0.23091580569501746,-0.022857142910650687,0.8459203681920965,0.1,99.00257754325867
74,46,0.35692574801803195,0.20807057641469467,-0.016000235182818786,0.7731243299958265,0.1,99.00257754325867
75,47,0.32744266605184813,0.18072325513330484,-0.01714287373739178,0.8121617106780807,0.1,99.00257754325867
76,48,0.35898039901286694,0.15135693922193133,0.08574036028730372,0.7705625497905736,0.1,99.00257754325867
77,42,0.41459575706285484,0.18521803596707173,0.13947897022430286,0.7858525801952205,0.1,99.00257754325867
78,45,0.3516172891712926,0.19408767368808919,-0.01599999973476593,0.7335007061304903,0.1,99.00257754325867
79,47,0.38750836254973214,0.19227772026890083,-0.0199999987601104,0.852643287489109,0.1,99.00257754325867
80,47,0.385421143828634,0.20867893054032408,-0.016666708215401997,0.7370847740003368,0.1,99.00257754325867
81,44,0.4239762512729316,0.17317521537001831,0.06676283784260265,0.8018898364563658,0.1,99.00257754325867
82,46,0.38120348518025216,0.1834414789137685,-0.01666664297074978,0.7060798788418892,0.1,99.00257754325867
83,45,0.3742663314775562,0.19649222027257393,-0.014999991920523797,0.749915980317448,0.1,99.00257754325867
84,47,0.45296696064037784,0.1992154455082585,-0.019999930388616693,0.8112061501428686,0.1,99.00257754325867
85,43,0.4426934569117724,0.218428516702448,0.10512635859074644,0.8112061501428686,0.1,99.00257754325867
86,48,0.3788683747062915,0.21387558252198097,-0.01800000924528794,0.887238610924573,0.1,99.00257754325867
87,46,0.3744989001103916,0.2031743777540587,-0.015999998427723643,0.818521526430745,0.1,99.00257754325867
