gen,nevals,avg,stddev,min,max,mutation,time
0,50,0.2183692722588085,0.0,0.2183692722588085,0.2183692722588085,0.2,114.3505346775055
1,46,0.07206658673040374,0.1105732873916964,-0.01599974943534114,0.3068308891913962,0.2,114.3505346775055
2,46,0.09036686160503175,0.11759647065006956,-0.01999999999999945,0.3068308891913962,0.2,114.3505346775055
3,43,0.13657602405836347,0.12790429163997402,-0.01999999999999945,0.39962078906929854,0.2,114.3505346775055
4,45,0.13798227467543223,0.14639977246894945,-0.019999999929515157,0.5144437784927188,0.2,114.3505346775055
5,48,0.13738236551142063,0.1632083827492313,-0.017142849411402962,0.8123082668511129,0.2,114.3505346775055
6,45,0.18303596744947329,0.18942947484173528,-0.017142824982950167,0.8123082668511129,0.2,114.3505346775055
7,44,0.21817487181086437,0.17559497863933876,-0.017499955227454563,0.703607748332274,0.2,114.3505346775055
8,44,0.2503952479106808,0.1973609760440014,-0.017142854346308634,0.8120828928703502,0.2,114.3505346775055
9,44,0.2848060283956255,0.22117648701756976,-0.01666667626354606,0.8177586355568344,0.2,114.3505346775055
10,48,0.26078672422477583,0.22600445252327422,-0.01714287895032876,0.8170747155823773,0.2,114.3505346775055
11,47,0.24722460773316032,0.21423843525544828,-0.02000003391867099,0.8170747155823773,0.2,114.3505346775055
12,45,0.2299463596050638,0.20266417063716033,-0.016666685452692575,0.8128254675368665,0.2,114.3505346775055
13,46,0.2562115084414422,0.16402075091569446,-0.01666515032587519,0.8128254675368665,0.2,114.3505346775055
14,46,0.252804748403874,0.13684060004316456,-0.017142856205183386,0.5796203286911157,0.2,114.3505346775055
15,45,0.2485651804192459,0.14112781043496309,-0.020000011640406552,0.6153520336718642,0.2,114.3505346775055
16,48,0.23503061278619405,0.16109287016288856,-0.02000000040791885,0.6934066483019379,0.2,114.3505346775055
17,45,0.3112067801994335,0.11512421382843872,-0.01666672858417298,0.572329512367179,0.2,114.3505346775055
18,47,0.26846389705217144,0.14294572710720146,-0.017142866414587055,0.6568034853785832,0.2,114.3505346775055
19,48,0.2355285816909264,0.16925854120235245,-0.020000000589832524,0.6160788297781046,0.2,114.3505346775055
20,43,0.287356043032501,0.16444283514574942,-0.01714282101449402,0.7090532546030701,0.2,114.3505346775055
21,50,0.27275161009728494,0.12673248676222454,-0.01666666720170671,0.5155220047433957,0.2,114.3505346775055
22,48,0.2504014543526681,0.14447012125646122,-0.017142887465491297,0.6499510115811492,0.2,114.3505346775055
23,45,0.2929703015059333,0.13250200312355154,-0.016666694615773216,0.6499510115811492,0.2,114.3505346775055
24,47,0.2897638091838768,0.15876496624619876,-0.020000014361920195,0.6499021545746536,0.2,114.3505346775055
25,46,0.26732710071632315,0.1501296774397014,-0.01999999990126594,0.7299501174177551,0.2,114.3505346775055
26,46,0.2578212163556683,0.1408745103484261,-0.020000000541908793,0.7299501174177551,0.2,114.3505346775055
27,46,0.3264697151378464,0.14032848618117374,0.1196052908681926,0.7299601466904081,0.2,114.3505346775055
28,46,0.31573865767442366,0.1524279734564729,-0.01999996143976193,0.7299501174177551,0.2,114.3505346775055
29,45,0.3057932301586997,0.16579775098020588,-0.01666667995377242,0.7299501174177551,0.2,114.3505346775055
30,47,0.31107566247392104,0.16901082645264773,-0.020000041960062918,0.7299501174177551,0.2,114.3505346775055
31,41,0.3649721628356921,0.16688495034113437,-0.015990812086613064,0.7299501174177551,0.2,114.3505346775055
32,46,0.3663213301572128,0.1531929908366149,0.07441560630486786,0.7064313094494644,0.2,114.3505346775055
33,48,0.25258251305623547,0.17535370379653897,-0.01749994901034336,0.7388561073162688,0.2,114.3505346775055
34,46,0.2878435916581868,0.1444013403970879,-0.01714284307727109,0.7004802970570708,0.2,114.3505346775055
35,47,0.3055056659228627,0.1258075841111672,-0.016000000163581416,0.5422424703736335,0.2,114.3505346775055
36,47,0.3183895920985138,0.11698355212959267,-0.016000016839667917,0.5438540128486359,0.2,114.3505346775055
37,47,0.3132296422229793,0.11651392400772641,-0.013333353258754416,0.5813641314224447,0.2,114.3505346775055
38,46,0.30866862552635377,0.10123916653758885,0.11351875497642396,0.5813641314224447,0.2,114.3505346775055
39,49,0.25281946501917596,0.20987713475303033,-1.0,0.5952208411686584,0.2,114.3505346775055
40,48,0.33185503589734383,0.11901698681939642,0.07639337888680525,0.7315542947295026,0.2,114.3505346775055
41,49,0.3374311562106974,0.1182397420990271,-0.01714290606100426,0.6633322762350876,0.2,114.3505346775055
42,45,0.2980451655957845,0.21718153849119468,-1.0,0.6633322762350876,0.2,114.3505346775055
43,48,0.30150524571362997,0.22387316821036554,-1.0,0.6533531204567319,0.2,114.3505346775055
44,48,0.1907616365085515,0.40918916089389284,-1.0,0.6134359284616813,0.2,114.3505346775055
45,47,0.31424019482688686,0.21603335889090727,-1.0,0.542900233027717,0.2,114.3505346775055
46,48,0.3330294611032693,0.09094273764315021,0.1409186884226756,0.5713165132154047,0.2,114.3505346775055
47,47,0.3139832030874792,0.21414719991706885,-1.0,0.6737921800553107,0.2,114.3505346775055
48,46,0.3059982830313628,0.2277010195577827,-1.0,0.5824841087681255,0.2,114.3505346775055
49,41,0.1443641588752024,0.4840631862342648,-1.0,0.5824841087681255,0.2,114.3505346775055
50,43,0.28857981043576275,0.23306842008919998,-1.0,0.5296342866778894,0.2,114.3505346775055
51,48,0.27573801428716666,0.280801276183378,-1.0,0.517327223711594,0.2,114.3505346775055
52,44,0.30405382358026495,0.21416554830372406,-1.0,0.6300538164347782,0.2,114.3505346775055
53,46,0.2755641191738352,0.2728558144498701,-1.0,0.5407516206974333,0.2,114.3505346775055
54,44,0.325763518054528,0.09160841597520768,-0.013333201630077883,0.5472401416103753,0.2,114.3505346775055
55,43,0.32072454424713404,0.10799936943925333,-0.01600008172248478,0.5472401416103753,0.2,114.3505346775055
56,48,0.30450584360272204,0.10901274707717733,-0.014999983712493645,0.5706971508925431,0.2,114.3505346775055
57,43,0.27324681177769805,0.2816827054402716,-1.0,0.6436084336893007,0.2,114.3505346775055
58,46,0.272084740955566,0.2721990311606582,-1.0,0.49120629899135976,0.2,114.3505346775055
59,47,0.2531685512202824,0.3281774481835046,-1.0,0.551243765751627,0.2,114.3505346775055
60,46,0.3312196192961336,0.11117884272210492,-0.015999999801447496,0.5793323309080377,0.2,114.3505346775055
61,45,0.25019748651022794,0.3369407706811395,-1.0,0.5793323309080377,0.2,114.3505346775055
62,48,0.29030865477013423,0.208580412601037,-1.0,0.5538516997977756,0.2,114.3505346775055
63,43,0.3050963901936442,0.20726614470228455,-1.0,0.5538516997977756,0.2,114.3505346775055
64,49,0.20702530945572406,0.36719041820528614,-1.0,0.6065678642589485,0.2,114.3505346775055
65,45,0.26240874088812205,0.33937690874030735,-1.0,0.5541168408005303,0.2,114.3505346775055
66,47,0.2484879946212098,0.33363338575664375,-1.0,0.5378068807729859,0.2,114.3505346775055
67,47,0.298542703283516,0.27673147828124073,-1.0,0.5378068807729859,0.2,114.3505346775055
68,47,0.17118775166536904,0.44118180537165425,-1.0,0.5537698873156549,0.2,114.3505346775055
69,44,0.29618464802602223,0.2747003275334399,-1.0,0.5537698873156549,0.2,114.3505346775055
70,47,0.16066307875977137,0.4346634839940045,-1.0,0.5081011696921293,0.2,114.3505346775055
71,45,0.31242508016031184,0.20532941166555957,-1.0,0.5081011696921293,0.2,114.3505346775055
72,45,0.2299527151725971,0.37125926017991073,-1.0,0.5403903743653496,0.2,114.3505346775055
73,47,0.24716239435305865,0.32496982075973596,-1.0,0.5403903743653496,0.2,114.3505346775055
74,44,0.19040708182771435,0.4074437992929342,-1.0,0.5403903743653496,0.2,114.3505346775055
75,45,0.21565592862530242,0.365893451185259,-1.0,0.5403903743653496,0.2,114.3505346775055
76,48,0.25472756113794165,0.2733095040214451,-1.0,0.6936023943554589,0.2,114.3505346775055
77,46,0.21557354945225463,0.3234053058225785,-1.0,0.4932387630526191,0.2,114.3505346775055
78,47,0.2548539076677609,0.2709809169308106,-1.0,0.503621467221007,0.2,114.3505346775055
79,47,0.2706515448705135,0.20842231518705961,-1.0,0.44300029480815256,0.2,114.3505346775055
80,47,0.2526705072948998,0.32521734022131116,-1.0,0.49373534389258955,0.2,114.3505346775055
81,42,0.2983013619094807,0.20921911313766658,-1.0,0.580740545505813,0.2,114.3505346775055
82,48,0.2816555589582943,0.20205849949545768,-1.0,0.580740545505813,0.2,114.3505346775055
83,47,0.26916932797015397,0.27774667187045243,-1.0,0.5636067255194357,0.2,114.3505346775055
84,46,0.2825773672173262,0.20632060334507019,-1.0,0.5636067255194357,0.2,114.3505346775055
85,44,0.30510250391952914,0.20594712063831688,-1.0,0.5956472411605619,0.2,114.3505346775055
86,47,0.3067218641118589,0.21066190432556517,-1.0,0.5447747529125814,0.2,114.3505346775055
87,50,0.2815861779447904,0.20094892991794605,-1.0,0.5831537723097208,0.2,114.3505346775055
88,46,0.2911522238876326,0.20957873672868912,-1.0,0.5747542395125044,0.2,114.3505346775055
89,45,0.28700175584894294,0.20554164805382358,-1.0,0.517710357362126,0.2,114.3505346775055
90,40,0.16864461274529294,0.4420103023056525,-1.0,0.517710357362126,0.2,114.3505346775055
